Date,Open,High,Low,Close,Volume
2020-01-02,3.31,3.36,3.29,3.3,333463.75
2020-01-03,3.3,3.31,3.27,3.29,194798.7
2020-01-06,3.27,3.31,3.25,3.29,233021.88
2020-01-07,3.29,3.37,3.28,3.33,357204.78
2020-01-08,3.32,3.34,3.23,3.26,272754.19
2020-01-09,3.29,3.3,3.25,3.27,152036.58
2020-01-10,3.27,3.28,3.22,3.23,190199.47
2020-01-13,3.23,3.24,3.18,3.24,182345.24
2020-01-14,3.24,3.27,3.23,3.23,137514.39
2020-01-15,3.23,3.23,3.18,3.19,130875.45
2020-01-16,3.2,3.2,3.17,3.18,98043.39
2020-01-17,3.19,3.2,3.17,3.18,100899.68
2020-01-20,3.18,3.19,3.15,3.18,127474.2
2020-01-21,3.17,3.17,3.11,3.12,202047.59
2020-01-22,3.11,3.13,3.08,3.11,171630.3
2020-01-23,3.09,3.09,2.98,3.01,270936.55
2020-02-03,2.7,2.75,2.7,2.7,203977.0
2020-02-04,2.58,2.73,2.58,2.67,344072.57
2020-02-05,2.68,2.74,2.66,2.7,254083.54
2020-02-06,2.71,2.74,2.69,2.74,212517.17
2020-02-07,2.74,2.74,2.7,2.73,165968.14
2020-02-10,2.72,2.78,2.71,2.78,204772.65
2020-02-11,2.79,2.88,2.78,2.81,286258.97
2020-02-12,2.82,2.84,2.8,2.83,162464.3
2020-02-13,2.82,2.84,2.8,2.81,148057.87
2020-02-14,2.8,2.82,2.78,2.81,119280.03
2020-02-17,2.81,2.88,2.81,2.87,224236.86
2020-02-18,2.87,2.89,2.84,2.88,194072.58
2020-02-19,2.86,2.88,2.84,2.85,157622.54
2020-02-20,2.86,2.89,2.84,2.89,221613.15
2020-02-21,2.88,2.9,2.88,2.9,238697.71
2020-02-24,2.88,2.88,2.82,2.84,230300.23
2020-02-25,2.79,2.81,2.75,2.78,244480.88
2020-02-26,2.76,2.87,2.74,2.84,294757.1
2020-02-27,2.83,2.87,2.82,2.83,172511.59
2020-02-28,2.78,2.8,2.72,2.73,251100.47
2020-03-02,2.75,2.85,2.75,2.84,263486.11
2020-03-03,2.88,2.89,2.82,2.83,264122.25
2020-03-04,2.82,2.88,2.81,2.88,334009.46
2020-03-05,2.92,2.97,2.89,2.95,457108.09
2020-03-06,2.91,2.92,2.87,2.89,333732.93
2020-03-09,2.84,2.84,2.78,2.78,272242.86
2020-03-10,2.75,2.83,2.75,2.82,216932.08
2020-03-11,2.82,2.83,2.78,2.78,180087.8
2020-03-12,2.76,2.76,2.72,2.73,196084.89
2020-03-13,2.64,2.73,2.59,2.71,214862.39
2020-03-16,2.72,2.72,2.64,2.65,170616.08
2020-03-17,2.66,2.69,2.6,2.66,154194.6
2020-03-18,2.68,2.69,2.61,2.62,153207.08
2020-03-19,2.61,2.64,2.56,2.61,170831.36
2020-03-20,2.62,2.64,2.61,2.64,106368.71
2020-03-23,2.6,2.61,2.57,2.57,117511.28
2020-03-24,2.6,2.63,2.58,2.62,121866.99
2020-03-25,2.66,2.66,2.62,2.64,141872.6
2020-03-26,2.62,2.63,2.6,2.61,98989.4
2020-03-27,2.63,2.64,2.61,2.62,114035.32
2020-03-30,2.59,2.62,2.58,2.6,107524.82
2020-03-31,2.61,2.63,2.6,2.61,100007.91
2020-04-01,2.6,2.62,2.59,2.59,100557.91
2020-04-02,2.57,2.62,2.57,2.62,111566.75
2020-04-03,2.61,2.62,2.59,2.59,80828.66
2020-04-07,2.61,2.63,2.6,2.63,162502.09
2020-04-08,2.62,2.66,2.61,2.64,141245.4
2020-04-09,2.65,2.66,2.62,2.62,132869.95
2020-04-10,2.63,2.63,2.6,2.62,110320.78
2020-04-13,2.61,2.62,2.6,2.6,62705.01
2020-04-14,2.61,2.63,2.61,2.63,97904.33
2020-04-15,2.63,2.63,2.61,2.61,82709.11
2020-04-16,2.61,2.61,2.59,2.61,88558.36
2020-04-17,2.61,2.63,2.6,2.61,93646.45
2020-04-20,2.61,2.62,2.6,2.61,91892.03
2020-04-21,2.62,2.62,2.55,2.57,209213.3
2020-04-22,2.55,2.68,2.54,2.63,251838.49
2020-04-23,2.64,2.65,2.6,2.6,166133.59
2020-04-24,2.59,2.62,2.57,2.58,125057.29
2020-04-27,2.58,2.6,2.56,2.56,101413.83
2020-04-28,2.56,2.56,2.48,2.49,136093.18
2020-04-29,2.5,2.52,2.49,2.5,95522.0
2020-04-30,2.52,2.55,2.52,2.55,131253.43
2020-05-06,2.53,2.56,2.52,2.55,125363.66
2020-05-07,2.55,2.55,2.52,2.52,142567.45
2020-05-08,2.53,2.57,2.53,2.57,141802.46
2020-05-11,2.57,2.6,2.55,2.56,161814.02
2020-05-12,2.57,2.57,2.54,2.55,96040.37
2020-05-13,2.54,2.55,2.53,2.55,100352.48
2020-05-14,2.54,2.54,2.52,2.53,96233.18
2020-05-15,2.54,2.55,2.53,2.53,70038.65
2020-05-18,2.54,2.56,2.52,2.55,98254.25
2020-05-19,2.56,2.59,2.56,2.59,160080.01
2020-05-20,2.58,2.59,2.55,2.56,97904.81
2020-05-21,2.57,2.58,2.55,2.56,74903.26
2020-05-22,2.54,2.57,2.53,2.53,91000.96
2020-05-25,2.53,2.59,2.53,2.57,117018.92
2020-05-26,2.58,2.58,2.56,2.58,88326.43
2020-05-27,2.57,2.62,2.56,2.59,172782.52
2020-05-28,2.6,2.61,2.56,2.59,124527.43
2020-05-29,2.59,2.6,2.57,2.57,107358.29
2020-06-01,2.59,2.61,2.59,2.61,151422.93
2020-06-02,2.6,2.63,2.6,2.63,147556.1
2020-06-03,2.64,2.65,2.61,2.61,129462.87
2020-06-04,2.62,2.63,2.6,2.61,145972.49
2020-06-05,2.6,2.62,2.59,2.6,108315.26
2020-06-08,2.61,2.64,2.61,2.62,189687.99
2020-06-09,2.62,2.62,2.61,2.61,157535.43
2020-06-10,2.61,2.61,2.57,2.57,156901.15
2020-06-11,2.57,2.58,2.55,2.55,128308.06
2020-06-12,2.52,2.55,2.52,2.54,160751.31
2020-06-15,2.53,2.54,2.52,2.53,110745.84
2020-06-16,2.54,2.58,2.54,2.58,135602.37
2020-06-17,2.59,2.64,2.57,2.62,315981.0
2020-06-18,2.62,2.8,2.61,2.77,703900.05
2020-06-19,2.76,2.77,2.71,2.73,333115.95
2020-06-22,2.72,2.74,2.69,2.71,232981.3
2020-06-23,2.7,2.7,2.67,2.69,172125.55
2020-06-24,2.71,2.72,2.67,2.67,212868.52
2020-06-29,2.64,2.67,2.62,2.67,170904.69
2020-06-30,2.68,2.71,2.66,2.68,142744.62
2020-07-01,2.69,2.72,2.66,2.71,179613.79
2020-07-02,2.69,2.82,2.69,2.82,452405.71
2020-07-03,2.84,3.03,2.82,2.96,955488.9
2020-07-06,3.04,3.25,3.0,3.22,1392343.49
2020-07-07,3.3,3.35,3.11,3.15,1184248.0
2020-07-08,3.14,3.25,3.09,3.2,797416.83
2020-07-09,3.18,3.33,3.13,3.26,1109260.58
2020-07-10,3.22,3.22,3.1,3.13,672919.08
2020-07-13,3.12,3.22,3.11,3.18,587739.09
2020-07-14,3.18,3.27,3.12,3.26,826246.48
2020-07-15,3.23,3.25,3.12,3.15,582677.95
2020-07-16,3.15,3.17,2.98,2.99,501823.83
2020-07-17,3.02,3.05,2.97,2.99,297638.34
2020-07-20,3.01,3.15,3.0,3.13,449779.34
2020-07-21,3.12,3.16,3.09,3.1,296978.21
2020-07-22,3.1,3.15,3.07,3.09,330178.52
2020-07-23,3.05,3.08,2.98,3.06,350595.07
2020-07-24,3.05,3.1,2.95,2.98,342055.82
2020-07-27,2.99,3.01,2.94,2.97,189586.34
2020-07-28,3.0,3.07,2.98,3.0,218306.55
2020-07-29,2.97,3.03,2.95,3.02,235745.44
2020-07-30,3.02,3.05,3.01,3.01,220679.28
2020-07-31,3.0,3.04,2.97,3.01,242834.48
2020-08-03,3.03,3.07,3.02,3.07,315354.37
2020-08-04,3.08,3.08,3.02,3.05,241118.84
2020-08-05,3.04,3.05,3.0,3.02,213066.67
2020-08-06,3.04,3.05,2.99,3.02,240542.92
2020-08-07,3.02,3.03,2.94,2.97,323213.98
2020-08-10,2.95,2.99,2.94,2.98,174674.37
2020-08-11,2.99,3.0,2.92,2.93,229098.98
2020-08-12,2.93,2.93,2.87,2.92,241374.58
2020-08-13,2.93,2.97,2.92,2.95,180299.3
2020-08-14,2.94,2.97,2.9,2.95,230513.81
2020-08-17,2.96,3.05,2.94,3.02,339327.48
2020-08-18,3.03,3.18,3.01,3.11,804037.01
2020-08-19,3.11,3.18,3.07,3.14,588759.53
2020-08-20,3.12,3.18,3.09,3.1,387346.03
2020-08-21,3.1,3.13,3.06,3.08,245783.75
2020-08-24,3.07,3.1,3.05,3.07,197129.23
2020-08-25,3.07,3.08,3.02,3.02,195873.44
2020-08-26,3.02,3.05,2.98,2.98,169841.3
2020-08-27,3.0,3.02,2.97,3.01,133630.75
2020-08-28,3.0,3.05,2.97,3.04,214200.61
2020-08-31,3.05,3.07,3.02,3.02,244996.88
2020-09-01,3.02,3.02,2.99,3.01,139328.33
2020-09-02,3.02,3.02,2.96,2.98,187799.47
2020-09-03,2.98,3.05,2.97,3.02,242066.44
2020-09-04,2.99,3.02,2.97,3.0,141754.87
2020-09-07,3.0,3.04,2.98,2.99,152839.1
2020-09-08,3.0,3.13,3.0,3.12,481559.0
2020-09-09,3.1,3.17,3.06,3.11,506045.88
2020-09-10,3.13,3.18,3.07,3.09,396844.24
2020-09-11,3.07,3.08,2.97,3.02,276168.98
2020-09-14,3.01,3.02,2.97,2.98,237214.83
2020-09-15,2.98,2.99,2.96,2.99,124217.15
2020-09-16,2.99,3.01,2.96,2.99,139307.31
2020-09-17,2.99,3.02,2.97,3.01,138851.81
2020-09-18,3.01,3.18,2.99,3.15,610054.5
2020-09-21,3.15,3.27,3.15,3.22,792208.42
2020-09-22,3.2,3.22,3.12,3.14,413599.2
2020-09-23,3.15,3.17,3.1,3.11,230052.18
2020-09-24,3.11,3.12,3.02,3.02,283172.56
2020-09-25,3.04,3.16,3.04,3.1,349942.5
2020-09-28,3.13,3.25,3.11,3.2,596322.02
2020-09-29,3.22,3.23,3.15,3.18,431548.5
2020-09-30,3.19,3.19,3.09,3.11,297522.69
2020-10-09,3.16,3.36,3.15,3.31,882050.31
2020-10-12,3.32,3.41,3.31,3.37,855460.4
2020-10-13,3.41,3.42,3.35,3.4,575845.14
2020-10-14,3.39,3.4,3.32,3.35,391540.59
2020-10-15,3.37,3.68,3.32,3.57,1593869.98
2020-10-16,3.57,3.93,3.55,3.9,2659037.86
2020-10-19,3.79,3.8,3.59,3.62,1906663.54
2020-10-20,3.59,3.64,3.52,3.62,974747.02
2020-10-21,3.58,3.61,3.48,3.54,871366.14
2020-10-22,3.52,3.62,3.44,3.44,1027738.14
2020-10-23,3.42,3.46,3.4,3.42,586858.38
2020-10-26,3.39,3.45,3.36,3.45,534475.68
2020-10-27,3.41,3.44,3.32,3.35,591943.02
2020-10-28,3.36,3.41,3.29,3.39,471815.14
2020-10-29,3.32,3.4,3.31,3.36,383558.91
2020-10-30,3.34,3.45,3.3,3.31,561842.02
2020-11-02,3.33,3.46,3.33,3.42,645632.05
2020-11-03,3.45,3.52,3.42,3.5,570037.16
2020-11-04,3.5,3.55,3.4,3.5,584057.45
2020-11-05,3.47,3.49,3.42,3.47,486796.23
2020-11-06,3.47,3.6,3.46,3.54,617015.51
2020-11-09,3.56,3.66,3.54,3.65,1204101.46
2020-11-10,3.61,3.66,3.57,3.65,782816.79
2020-11-11,3.62,3.79,3.6,3.67,818903.13
2020-11-12,3.65,3.7,3.57,3.67,480353.23
2020-11-13,3.66,3.67,3.58,3.6,565989.23
2020-11-16,3.6,3.82,3.6,3.81,948360.67
2020-11-17,3.82,3.93,3.72,3.76,988517.26
2020-11-18,3.76,3.84,3.68,3.74,581561.19
2020-11-19,3.72,3.77,3.64,3.68,481912.65
2020-11-20,3.67,3.81,3.65,3.79,566038.53
2020-11-23,3.95,4.17,3.95,4.17,2679660.32
2020-11-24,4.17,4.25,4.04,4.21,2488257.13
2020-11-25,4.3,4.34,4.04,4.05,1430251.68
2020-11-26,4.06,4.1,3.95,4.0,958956.18
2020-11-27,4.04,4.08,3.82,3.92,1277357.8
2020-11-30,3.93,4.12,3.92,3.92,1322742.07
2020-12-01,3.98,4.25,3.92,4.2,1380494.85
2020-12-02,4.16,4.27,4.13,4.22,1416579.92
2020-12-03,4.18,4.2,4.02,4.03,1027441.26
2020-12-04,4.02,4.07,3.93,4.03,535692.6
2020-12-07,4.05,4.14,3.93,3.93,772643.18
2020-12-08,3.93,3.95,3.82,3.88,562782.53
2020-12-09,3.92,4.04,3.89,3.95,843193.03
2020-12-10,4.05,4.18,4.04,4.13,1477870.55
2020-12-11,4.19,4.27,3.9,4.05,1613296.1
2020-12-14,3.91,3.92,3.78,3.88,1067615.43
2020-12-15,3.83,3.87,3.8,3.81,517350.66
2020-12-16,3.84,3.92,3.8,3.83,438572.7
