Date,Open,High,Low,Close,Volume
2020-01-02,9.62,10.14,9.52,10.09,734209
2020-01-03,10.52,10.76,10.31,10.57,916088
2020-01-06,10.44,10.72,10.31,10.65,751489
2020-01-07,10.8,11.14,10.67,11.02,702264
2020-01-08,10.77,10.82,10.36,10.47,644797
2020-01-09,10.68,10.88,10.55,10.67,466092
2020-01-10,10.62,10.77,10.46,10.64,240981
2020-01-13,10.7,10.9,10.24,10.6,361262
2020-01-14,10.72,11.35,10.66,11.08,587125
2020-01-15,11.05,11.21,10.52,10.77,414557
2020-01-16,10.93,10.95,10.69,10.7,378970
2020-01-17,10.75,10.97,10.57,10.71,287328
2020-01-20,10.62,10.82,10.52,10.65,367756
2020-01-21,10.67,10.79,10.28,10.71,452559
2020-01-22,10.56,10.65,10.11,10.62,417333
2020-01-23,10.51,10.92,9.94,10.52,460393
2020-02-03,9.47,10.15,9.47,9.66,604293
2020-02-04,9.67,10.36,9.61,10.29,464640
2020-02-05,10.34,10.34,9.8,9.87,730539
2020-02-06,9.92,10.86,9.92,10.77,792903
2020-02-07,10.88,11.6,10.65,11.42,950952
2020-02-10,11.71,12.1,11.46,11.67,841168
2020-02-11,11.68,11.97,11.28,11.72,604757
2020-02-12,11.74,12.72,11.74,12.52,703670
2020-02-13,12.65,13.12,12.48,12.6,616772
2020-02-14,12.42,12.84,12.33,12.62,600871
2020-02-17,12.66,12.82,12.38,12.45,646713
2020-02-18,12.46,12.9,12.37,12.6,645763
2020-02-19,12.57,12.59,12.01,12.27,750709
2020-02-20,12.23,12.27,11.6,12.05,631730
2020-02-21,12.09,12.47,11.91,12.18,520275
2020-02-24,12.03,12.48,12.02,12.37,619381
2020-02-25,12.19,12.37,11.71,12.05,647031
2020-02-26,11.93,11.93,11.45,11.46,647717
2020-02-27,11.61,11.84,11.33,11.57,639013
2020-02-28,11.4,12.05,11.05,11.15,690172
2020-03-02,11.53,11.73,10.52,11.08,908699
2020-03-03,11.21,11.52,10.78,10.9,732221
2020-03-04,10.87,11.36,10.75,11.26,510476
2020-03-05,11.28,11.66,11.17,11.64,557964
2020-03-06,11.52,11.86,11.39,11.7,637139
2020-03-09,11.52,11.52,10.88,10.91,511420
2020-03-10,10.77,11.69,10.63,11.52,611268
2020-03-11,11.56,11.66,11.17,11.22,320145
2020-03-12,10.94,11.19,10.81,10.93,295207
2020-03-13,10.23,10.85,10.09,10.75,432032
2020-03-16,10.8,11.46,10.57,10.77,615510
2020-03-17,10.85,11.12,10.67,11.0,477777
2020-03-18,11.23,11.63,11.02,11.02,568732
2020-03-19,11.15,11.67,11.06,11.67,720990
2020-03-20,11.94,12.32,11.84,11.98,730915
2020-03-23,11.62,12.06,11.36,11.5,454801
2020-03-24,11.77,11.87,10.97,11.39,475791
2020-03-25,11.62,12.02,11.48,11.94,424760
2020-03-26,11.83,12.01,11.54,11.64,348104
2020-03-27,11.77,11.82,10.97,11.07,511839
2020-03-30,10.78,10.84,10.22,10.41,412766
2020-03-31,10.57,10.68,10.09,10.23,413371
2020-04-01,10.26,10.6,10.15,10.24,286185
2020-04-02,10.27,10.53,10.15,10.52,306209
2020-04-03,10.5,10.79,10.42,10.61,248281
2020-04-07,10.83,11.07,10.76,10.95,316651
2020-04-08,10.93,11.65,10.88,11.26,392193
2020-04-09,11.18,12.02,11.13,11.97,757806
2020-04-10,11.85,11.85,11.2,11.27,537279
2020-04-13,11.27,11.27,10.73,10.78,313967
2020-04-14,11.17,11.87,11.11,11.85,1491440
2020-04-15,11.59,11.87,11.46,11.53,720732
2020-04-16,11.44,12.29,11.37,12.03,1077109
2020-04-17,12.19,12.23,11.77,11.97,731828
2020-04-20,11.86,12.14,11.77,11.87,601177
2020-04-21,11.84,11.84,11.34,11.54,533095
2020-04-22,11.37,11.72,11.37,11.67,326178
2020-04-23,11.7,11.75,11.3,11.3,397180
2020-04-24,11.27,11.39,11.08,11.16,301212
2020-04-27,11.2,11.51,11.18,11.33,290408
2020-04-28,11.33,11.47,10.8,11.27,331969
2020-04-29,11.29,11.72,11.23,11.51,356525
2020-04-30,11.86,11.94,11.42,11.52,520507
2020-05-06,11.48,11.67,11.32,11.62,441052
2020-05-07,11.66,12.19,11.55,12.14,746011
2020-05-08,12.14,12.22,11.96,12.08,507843
2020-05-11,12.26,12.42,11.93,12.01,440481
2020-05-12,12.05,12.12,11.72,11.93,396050
2020-05-13,12.01,12.21,11.84,12.17,493713
2020-05-14,12.19,12.32,11.9,11.92,472786
2020-05-15,12.02,12.06,11.73,11.77,351702
2020-05-18,11.77,11.78,11.38,11.47,340400
2020-05-19,11.57,11.65,11.37,11.55,330904
2020-05-20,11.55,11.56,11.2,11.27,368969
2020-05-21,11.3,11.36,11.07,11.09,307614
2020-05-22,11.14,11.34,10.96,11.05,306002
2020-05-25,10.95,11.22,10.79,11.22,331512
2020-05-26,11.21,11.27,11.08,11.15,290995
2020-05-27,11.17,11.21,10.68,10.77,423485
2020-05-28,10.65,10.82,10.42,10.73,357089
2020-05-29,10.63,11.12,10.62,11.11,586836
2020-06-01,11.05,11.37,10.99,11.28,567314
2020-06-02,11.37,11.37,10.98,11.06,448946
2020-06-03,11.06,11.11,10.82,10.91,356741
2020-06-04,10.93,10.94,10.62,10.68,364162
2020-06-05,10.72,11.12,10.61,11.1,461680
2020-06-08,11.32,11.33,10.9,10.94,330979
2020-06-09,10.97,11.29,10.88,11.27,504119
2020-06-10,11.27,11.46,11.15,11.42,426723
2020-06-11,11.5,11.82,11.39,11.56,652745
2020-06-12,11.19,12.03,11.14,12.0,786728
2020-06-15,12.08,12.27,11.79,12.12,1002428
2020-06-16,12.11,12.22,11.88,11.96,798392
2020-06-17,12.04,12.15,11.51,11.66,866200
2020-06-18,11.2,11.73,11.07,11.43,736798
2020-06-19,11.41,11.64,11.27,11.34,599505
2020-06-22,11.43,11.79,11.34,11.72,765943
2020-06-23,11.79,12.9,11.73,12.66,2018272
