Date,Open,High,Low,Close,Volume
2026-06-25,90.0,91.0,89.0,90.5,12345
2026-06-26,90.0,91.0,89.0,90.5,12345
2026-06-27,90.0,91.0,89.0,90.5,12345
2026-06-28,90.0,91.0,89.0,90.5,12345
2026-06-29,90.0,91.0,89.0,90.5,12345
2026-06-30,90.0,91.0,89.0,90.5,12345
2026-07-01,90.0,91.0,89.0,90.5,12345
2026-07-02,90.0,91.0,89.0,90.5,12345
2026-07-03,90.0,91.0,89.0,90.5,12345
2026-07-04,90.0,91.0,89.0,90.5,12345
2026-07-05,90.0,91.0,89.0,90.5,12345
2026-07-06,90.0,91.0,89.0,90.5,12345
2026-07-07,90.0,91.0,89.0,90.5,12345
