Date,Open,High,Low,Close,Volume
2020-12-11,73.7716,78.2209,65.0645,66.0213,98464984.0
2020-12-14,66.9303,71.7145,58.558,71.2839,23282238.0
2020-12-15,69.8486,71.7145,66.2127,69.6573,8216735.0
2020-12-16,69.6573,73.1497,68.4612,68.7961,6943372.0
2020-12-17,68.7961,71.2839,68.7961,69.7051,3195720.0
2020-12-18,69.7051,77.3119,68.9396,73.676,10326516.0
2020-12-21,73.0062,84.9666,73.0062,83.9619,10604794.0
2020-12-22,84.2011,92.2863,82.0961,85.2536,10311671.0
2020-12-23,87.0237,89.4637,85.3015,85.732,4864370.0
2020-12-24,84.823,88.0284,81.4741,82.4788,2392634.0
2020-12-28,73.8195,76.4508,68.9396,74.2979,18389087.0
2020-12-29,74.1544,79.0821,71.2839,74.7285,4979081.0
2020-12-30,75.5896,80.8522,75.5896,78.3644,3554014.0
2020-12-31,78.4601,79.4648,77.0249,77.8382,1361410.0
2021-01-04,77.7903,80.2781,71.7623,74.6328,5336586.0
2021-01-05,74.6328,78.0774,73.7716,77.5033,3059244.0
2021-01-06,79.4169,83.9619,74.5371,76.5465,6657448.0
2021-01-07,76.977,77.9817,72.9105,73.4368,3926274.0
2021-01-08,73.4846,77.4076,73.4846,75.9724,2796580.0
2021-01-11,75.5896,75.6375,70.8055,71.7623,5278040.0
2021-01-12,72.7191,73.9152,69.6573,71.858,5101476.0
2021-01-13,72.9105,74.5849,70.2314,72.4321,3622879.0
2021-01-14,72.7191,75.1112,71.4752,75.1112,4753735.0
2021-01-15,75.5896,76.068,71.7623,72.8148,4240839.0
2021-01-18,72.6713,72.8148,71.236,71.7623,2246496.0
2021-01-19,71.858,75.5896,71.2839,73.1497,5500028.0
2021-01-20,74.6328,83.5313,73.4846,81.0914,10048443.0
2021-01-21,82.431,84.6795,79.4169,79.5605,4512399.0
2021-01-22,80.3738,81.3306,74.7285,76.6421,4289041.0
2021-01-25,76.6421,81.1871,73.7238,78.0774,4895518.0
2021-01-26,78.0774,78.6993,74.7285,77.5033,3690826.0
2021-01-27,78.4601,80.3738,73.8673,73.8673,4093262.0
2021-01-28,72.9105,73.8673,69.6573,69.6573,5522968.0
2021-01-29,71.1882,73.1975,69.6573,70.8055,2790982.0
2021-02-01,70.4227,74.6328,69.3702,73.4368,1991022.0
2021-02-02,74.6328,77.2162,73.9152,76.5465,2150999.0
2021-02-03,77.5033,77.5511,75.5896,76.5465,1497424.0
2021-02-04,76.5465,76.5465,73.8195,75.4461,1553509.0
2021-02-05,75.5896,78.4601,75.5896,76.5465,2888667.0
2021-02-08,76.5943,77.9817,75.9724,76.4508,1636200.0
2021-02-09,76.5465,77.2641,74.6328,75.3026,1905526.0
2021-02-10,76.2594,84.0097,76.068,83.4356,7667808.0
2021-02-11,84.2011,93.0518,84.2011,90.7075,5287978.0
2021-02-16,90.4683,93.7694,86.1626,87.0237,5974146.0
2021-02-17,87.263,102.955,87.263,100.4672,6910704.0
2021-02-18,100.4672,102.3809,93.0996,93.7694,4593850.0
2021-02-19,92.0949,96.6399,88.6504,95.109,3307278.0
2021-02-22,98.6492,99.6061,91.2816,94.7262,3802504.0
2021-02-23,90.8989,93.7216,90.1334,90.2291,2585204.0
