Date,Open,High,Low,Close,Volume
2011-08-19,28.38,33.2,28.33,31.05,17123248
2011-08-22,31.7,32.65,31.2,31.95,9170301
2011-08-23,31.68,34.3,30.55,33.29,10563678
2011-08-24,33.6,35.97,33.3,33.9,9703238
2011-08-25,33.6,34.98,32.61,34.24,7007111
2011-08-26,33.78,34.94,33.63,34.39,6281873
2011-08-29,34.39,34.75,33.61,33.93,4299632
2011-08-30,33.98,34.23,32.32,32.87,5294090
2011-08-31,32.9,32.93,31.41,31.96,3343568
2011-09-01,31.98,32.58,31.44,31.7,2603641
2011-09-02,31.8,33.75,31.58,33.58,5188937
2011-09-05,32.94,35.11,32.82,33.13,7014162
2011-09-06,32.49,32.5,29.82,29.82,5893684
2011-09-07,29.78,30.91,29.63,30.71,3737780
2011-09-08,30.72,30.9,29.79,29.79,3081945
2011-09-09,29.44,30.15,29.19,29.38,2088824
2011-09-13,28.96,28.96,27.51,27.87,1867185
2011-09-14,28.15,28.56,27.51,28.53,1828082
2011-09-15,28.6,29.18,28.41,28.69,2156980
2011-09-16,28.7,28.84,27.8,27.8,1925784
2011-09-19,27.53,27.6,26.41,26.48,1812884
2011-09-20,26.4,26.97,26.35,26.66,1168482
2011-09-21,26.52,27.88,26.52,27.69,2321581
2011-09-22,27.3,27.64,26.01,26.1,2171894
2011-09-23,25.5,26.42,25.2,26.38,1760528
2011-09-26,26.25,26.8,25.78,26.0,1090065
2011-09-27,26.3,26.5,25.92,26.19,721654
2011-09-28,26.4,26.54,25.51,25.8,783422
2011-09-29,25.68,25.68,24.73,24.73,1119509
2011-09-30,24.59,25.1,24.23,24.55,776648
2011-10-10,24.75,24.99,24.25,24.36,624335
2011-10-11,25.02,25.25,24.08,24.45,1159537
2011-10-12,24.2,25.42,24.01,25.33,1482985
2011-10-13,25.33,26.12,25.15,25.71,1573450
2011-10-14,25.5,25.73,25.03,25.28,1361934
2011-10-17,25.31,26.58,25.3,26.35,2254417
2011-10-18,26.01,27.2,26.01,26.28,3457221
2011-10-19,26.28,26.49,25.5,25.66,1614675
2011-10-20,25.4,25.88,24.31,24.76,1222449
2011-10-21,24.73,24.83,24.05,24.06,964490
2011-10-24,23.5,23.5,21.65,22.77,2606549
2011-10-25,22.28,23.8,22.11,23.71,1972258
2011-10-26,23.38,24.0,23.18,23.47,1624977
2011-10-27,23.5,24.17,23.4,23.43,1510036
2011-10-28,23.85,24.0,23.5,24.0,1487713
2011-10-31,24.05,24.54,24.05,24.39,1292093
2011-11-01,24.08,25.15,24.05,24.91,1979494
2011-11-02,24.09,25.72,24.09,25.47,2112991
