Date,Open,High,Low,Close,Volume
2020-01-02,16.44,17.6,16.23,17.41,191718.55
2020-01-03,17.46,18.07,17.3,17.82,199612.55
2020-01-06,18.0,19.31,17.9,19.0,285886.74
2020-01-07,19.5,20.27,18.69,18.83,158977.63
2020-01-08,18.71,19.85,18.7,18.84,168194.22
2020-01-09,19.11,19.4,18.74,19.21,115146.46
2020-01-10,19.29,19.34,18.38,18.85,133170.6
2020-01-13,18.9,19.86,18.71,19.36,186174.71
2020-01-14,19.36,20.16,19.3,19.84,198805.33
2020-01-15,19.51,20.55,19.2,20.43,132554.54
2020-01-16,20.37,20.6,19.9,20.19,103211.48
2020-01-17,20.2,20.45,19.75,19.89,70643.17
2020-01-20,20.02,21.62,20.0,21.6,108616.54
2020-01-21,21.19,21.57,20.7,20.8,133181.52
2020-01-22,20.5,21.99,20.5,21.73,110426.81
2020-01-23,21.34,22.85,21.0,21.67,139109.82
2020-02-03,19.5,19.83,19.5,19.5,90090.41
2020-02-04,19.58,20.8,19.58,20.77,169068.39
2020-02-05,21.04,21.88,20.05,20.31,229818.35
2020-02-06,19.9,20.8,19.82,20.4,198513.55
2020-02-07,20.2,20.66,19.52,20.2,173231.8
2020-02-10,20.16,20.51,19.77,20.16,176916.46
2020-02-11,20.4,21.73,20.12,21.37,321404.24
2020-02-12,21.18,23.51,21.02,23.51,338376.23
2020-02-13,24.18,25.5,23.7,24.42,382230.33
2020-02-14,24.66,26.4,24.43,25.76,299704.7
2020-02-17,26.36,26.36,24.79,25.88,279763.53
2020-02-18,25.55,26.63,25.0,26.02,227801.79
2020-02-19,25.7,27.72,25.11,26.77,299886.73
2020-02-20,26.82,27.19,25.24,26.33,264945.34
2020-02-21,25.88,27.02,25.7,26.05,218398.5
2020-02-24,25.7,28.66,25.5,28.21,353187.13
2020-02-25,27.36,28.16,25.86,27.5,275685.11
2020-02-26,26.01,26.79,24.75,24.75,239336.63
2020-02-27,24.5,25.13,23.51,24.82,246752.42
2020-02-28,23.61,24.1,22.38,22.5,208673.13
2020-03-02,23.24,24.65,23.03,24.26,218422.23
2020-03-03,25.0,25.61,23.95,24.3,208047.69
2020-03-04,23.17,24.3,23.1,23.68,174819.26
2020-03-05,24.39,24.58,23.0,23.75,135753.26
2020-03-06,23.0,23.79,22.9,23.31,101959.37
2020-03-09,23.4,23.4,21.46,21.59,198894.8
2020-03-10,21.9,22.88,21.2,22.69,175369.35
2020-03-11,22.92,23.55,22.0,22.0,156742.33
2020-03-12,21.63,22.39,21.18,21.49,115547.43
2020-03-13,20.31,22.07,20.0,21.42,129216.09
2020-03-16,21.66,22.18,19.96,20.07,135001.77
2020-03-17,20.56,21.0,19.65,20.38,119968.16
2020-03-18,20.76,21.32,20.0,20.1,121227.47
2020-03-19,20.36,21.05,20.02,20.8,136155.06
2020-03-20,21.18,21.3,19.77,20.58,147037.94
2020-03-23,19.87,20.1,18.8,19.0,116451.41
2020-03-24,19.45,19.52,18.3,19.0,92779.46
2020-03-25,19.56,20.11,19.39,19.95,117926.57
2020-03-26,19.95,20.01,19.21,19.33,68852.53
2020-03-27,19.58,19.67,18.89,18.93,66762.34
2020-03-30,18.41,18.5,17.26,17.81,166949.6
2020-03-31,18.15,18.38,17.9,17.92,73826.91
2020-04-01,18.1,18.76,17.74,18.22,90150.12
2020-04-02,18.29,19.6,18.18,19.53,126354.0
2020-04-03,19.3,19.58,18.72,18.83,127703.74
2020-04-07,19.41,19.93,19.41,19.61,104136.96
2020-04-08,19.45,20.15,19.4,19.71,89368.18
2020-04-09,19.97,20.2,19.62,19.91,86872.46
2020-04-10,20.23,20.68,19.79,20.12,138371.04
2020-04-13,20.08,20.08,18.8,19.17,129466.32
2020-04-14,19.49,19.92,19.25,19.68,129365.92
2020-04-15,19.7,20.8,19.51,20.16,159660.44
2020-04-16,20.08,20.19,19.5,19.99,125222.25
2020-04-17,20.2,21.3,20.2,20.99,183941.7
2020-04-20,21.13,21.22,20.81,21.15,86201.98
2020-04-21,21.0,21.22,20.62,20.99,70871.86
2020-04-22,20.69,21.14,20.51,21.04,64801.86
2020-04-23,21.02,21.28,20.64,20.69,75336.62
2020-04-24,20.7,21.08,20.17,20.39,71703.36
2020-04-27,20.63,20.63,20.0,20.14,48255.74
2020-04-28,19.98,21.05,19.5,20.6,105939.96
2020-04-29,21.4,22.66,21.38,22.66,214780.88
2020-04-30,22.5,23.3,22.5,22.62,291691.15
2020-05-06,22.68,23.14,22.51,22.96,226543.27
2020-05-07,23.29,23.75,23.02,23.21,189237.54
2020-05-08,23.38,23.68,23.03,23.2,137880.26
2020-05-11,23.2,23.41,22.77,22.93,134800.78
2020-05-12,23.0,23.65,22.68,23.61,131734.19
2020-05-13,23.42,23.54,22.91,23.12,103984.47
2020-05-14,22.91,23.54,22.91,23.09,96022.76
2020-05-15,23.35,24.83,23.23,24.4,191407.78
2020-05-18,24.54,24.54,22.7,23.21,169397.76
2020-05-19,23.5,24.2,23.15,23.76,138883.8
2020-05-20,23.57,24.27,22.85,23.1,138990.74
2020-05-21,23.17,23.34,22.19,22.32,84002.91
2020-05-22,22.31,22.56,21.42,21.81,97886.01
2020-05-25,21.66,22.03,21.19,21.42,62569.04
2020-05-26,21.6,22.2,21.51,22.04,69087.15
2020-05-27,22.22,22.23,21.15,21.28,83314.0
2020-05-28,21.35,21.9,20.88,21.84,93978.72
2020-05-29,21.65,21.85,21.36,21.44,67516.41
2020-06-01,21.65,23.44,21.65,23.21,119374.48
2020-06-02,23.3,23.54,22.87,23.38,92790.6
2020-06-03,23.5,23.94,23.15,23.35,110692.2
2020-06-04,23.18,23.56,22.85,22.9,81210.32
2020-06-05,22.98,23.05,21.96,22.39,120925.29
2020-06-08,22.55,22.94,22.05,22.28,91118.42
2020-06-09,22.57,22.57,21.75,22.29,65289.77
2020-06-10,22.32,22.35,21.71,22.11,66904.75
2020-06-11,22.13,22.65,21.8,21.93,94880.44
2020-06-12,21.39,22.04,21.35,21.83,61909.7
2020-06-15,21.8,21.97,21.35,21.54,70988.8
2020-06-16,21.88,22.48,21.79,22.2,97466.3
2020-06-17,22.2,22.25,21.54,22.0,86182.37
2020-06-18,21.99,22.59,21.88,22.52,104231.33
2020-06-19,22.58,23.53,22.41,23.21,129631.41
2020-06-22,23.5,23.85,23.3,23.57,128715.36
2020-06-23,23.58,23.95,23.21,23.75,87909.72
2020-06-24,23.76,24.38,23.56,23.91,101040.81
2020-06-29,23.7,24.17,23.31,23.49,78359.05
2020-06-30,23.75,24.2,23.75,24.05,102224.46
2020-07-01,24.1,24.68,23.55,24.12,109869.51
2020-07-02,24.15,24.33,23.67,23.87,109756.1
2020-07-03,24.0,24.65,23.7,24.55,114201.4
2020-07-06,24.75,25.76,24.5,25.46,150804.81
2020-07-07,25.8,26.47,25.09,25.1,187311.19
2020-07-08,25.7,25.7,25.0,25.52,123925.71
2020-07-09,25.43,26.7,25.39,26.32,155228.6
2020-07-10,26.19,26.58,25.71,26.01,112921.15
2020-07-13,26.01,26.9,25.85,26.77,158669.98
2020-07-14,26.7,26.7,24.95,25.52,176739.2
2020-07-15,25.3,25.69,24.39,24.7,145152.03
2020-07-16,24.6,24.94,23.03,23.25,159738.17
2020-07-17,23.25,23.64,22.58,22.74,93872.29
2020-07-20,23.08,24.02,23.02,23.84,91977.92
2020-07-21,23.99,24.29,23.78,23.93,73008.58
2020-07-22,23.79,24.25,23.63,23.97,82495.69
2020-07-23,24.07,24.07,22.76,23.53,123053.6
2020-07-24,23.27,23.52,21.61,21.86,123312.72
2020-07-27,21.99,22.15,20.98,21.24,128224.56
2020-07-28,21.48,22.26,21.35,21.59,93886.3
2020-07-29,21.67,22.66,21.56,22.64,94100.4
2020-07-30,22.7,22.93,22.28,22.48,77528.41
2020-07-31,22.45,23.38,22.35,23.05,94163.17
2020-08-03,23.3,23.68,22.91,23.46,80237.9
2020-08-04,23.34,23.7,22.71,22.81,105257.0
2020-08-05,23.05,23.69,22.75,22.97,92396.54
2020-08-06,22.81,22.97,22.33,22.59,92918.82
2020-08-07,22.65,22.7,21.5,21.77,117667.17
2020-08-10,21.6,21.99,21.38,21.72,60279.17
2020-08-11,22.01,22.04,21.21,21.22,73502.0
2020-08-12,21.12,21.29,20.5,21.11,98351.98
2020-08-13,21.25,21.45,20.93,21.17,55780.14
2020-08-14,21.08,22.23,21.08,22.02,120435.77
2020-08-17,22.18,24.22,22.11,24.22,173667.48
2020-08-18,24.51,24.54,23.54,23.78,170243.58
2020-08-19,23.77,23.97,23.24,23.33,113916.88
2020-08-20,23.4,23.9,23.18,23.29,90288.31
2020-08-21,23.51,24.2,22.48,22.8,116108.69
2020-08-24,23.13,23.64,22.51,23.38,89832.78
2020-08-25,23.62,24.42,23.39,24.07,149114.08
2020-08-26,24.0,24.0,22.87,23.04,127321.68
2020-08-27,22.81,23.1,22.26,22.79,93227.49
2020-08-28,23.02,23.22,22.45,23.06,84323.44
2020-08-31,22.95,24.06,22.9,23.54,136652.88
2020-09-01,23.29,23.5,22.88,23.47,134329.88
2020-09-02,23.7,23.73,22.85,23.15,102646.33
2020-09-03,22.94,23.07,21.82,21.88,139651.01
2020-09-04,21.37,22.14,21.25,22.03,65681.9
2020-09-07,22.04,22.85,21.72,21.85,97796.26
2020-09-08,21.79,22.04,21.18,21.67,78062.2
2020-09-09,21.45,21.56,20.5,20.52,109979.82
2020-09-10,20.7,20.89,20.02,20.19,80506.15
2020-09-11,20.04,20.45,20.03,20.41,54468.74
2020-09-14,20.53,20.99,20.29,20.59,84045.28
2020-09-15,20.55,20.74,20.22,20.72,48813.18
2020-09-16,20.68,20.74,20.3,20.4,41486.45
2020-09-17,20.4,21.1,20.26,20.89,75429.93
2020-09-18,20.72,21.1,20.55,20.96,56789.58
2020-09-21,21.01,21.09,20.81,20.86,37513.78
2020-09-22,20.53,20.72,20.3,20.31,43390.31
2020-09-23,20.45,20.55,20.23,20.42,43183.77
2020-09-24,20.11,20.36,19.83,20.0,51430.26
2020-09-25,20.01,20.12,19.48,19.72,50025.51
2020-09-28,19.7,20.28,19.56,20.07,41767.33
2020-09-29,20.3,20.43,20.08,20.21,34097.29
2020-09-30,20.11,20.54,20.09,20.31,29343.96
2020-10-09,20.8,21.68,20.73,21.31,107150.62
2020-10-12,21.55,21.81,21.4,21.81,89243.35
2020-10-13,21.89,22.03,21.54,21.96,75546.37
2020-10-14,21.96,21.96,21.19,21.28,68190.0
2020-10-15,21.73,21.78,21.03,21.09,44241.13
2020-10-16,21.11,21.34,20.91,21.18,41704.95
2020-10-19,21.28,21.36,20.94,21.0,34765.4
2020-10-20,21.12,21.24,20.71,21.23,27106.83
2020-10-21,21.24,21.33,20.64,20.73,33608.8
2020-10-22,20.62,20.82,20.41,20.55,28515.79
2020-10-23,20.65,20.82,20.0,20.13,39460.18
2020-10-26,20.1,20.48,19.76,20.25,42361.92
2020-10-27,20.22,20.4,20.06,20.27,26860.22
2020-10-28,20.22,20.59,19.86,20.49,42795.51
2020-10-29,20.16,21.32,20.06,20.96,80245.45
2020-10-30,21.14,21.53,20.6,20.85,92267.52
2020-11-02,20.85,21.33,20.79,21.19,92673.93
2020-11-03,21.22,21.46,21.01,21.36,71753.14
2020-11-04,21.32,21.35,20.1,21.0,111119.55
2020-11-05,21.09,21.28,20.45,20.82,95150.68
2020-11-06,20.94,21.98,20.86,21.94,167662.08
2020-11-09,21.94,23.82,21.94,23.25,236571.74
2020-11-10,22.93,23.51,22.4,23.25,125263.07
2020-11-11,23.19,23.34,22.38,22.67,101357.34
2020-11-12,22.75,22.98,22.35,22.81,56297.84
2020-11-13,22.7,23.99,22.4,23.89,154575.62
2020-11-16,23.99,24.37,23.54,24.09,141752.07
2020-11-17,23.95,24.19,22.86,23.94,112172.29
2020-11-18,23.76,24.55,23.7,23.72,121169.46
2020-11-19,24.01,24.39,23.43,23.84,83609.0
2020-11-20,23.93,24.05,23.53,23.73,56918.98
2020-11-23,23.83,23.96,23.18,23.26,86477.05
2020-11-24,23.22,23.8,23.17,23.3,47386.9
2020-11-25,23.42,23.57,22.8,22.84,61538.06
2020-11-26,22.8,23.07,22.43,22.7,47019.53
2020-11-27,22.72,22.95,22.44,22.76,54381.18
2020-11-30,22.7,23.78,22.69,23.05,92288.79
2020-12-01,23.1,24.15,23.06,24.11,133166.0
2020-12-02,24.0,24.42,23.75,24.11,87191.75
2020-12-03,24.19,24.5,23.75,24.01,76520.7
2020-12-04,24.04,25.11,24.0,24.61,130102.05
2020-12-07,24.03,24.6,23.56,24.48,120185.53
