Date,Open,High,Low,Close,Volume
2019-08-26,0.998,1.015,0.998,1.014,630790062
2019-08-27,1.027,1.038,1.019,1.033,502666845
2019-08-28,1.035,1.042,1.028,1.032,193542316
2019-08-29,1.037,1.049,1.033,1.042,239957802
2019-08-30,1.049,1.072,1.049,1.063,229566838
2019-09-02,1.07,1.123,1.07,1.116,294209084
2019-09-03,1.119,1.139,1.108,1.131,272474868
2019-09-04,1.129,1.129,1.107,1.125,225118946
2019-09-05,1.125,1.144,1.119,1.125,206150926
2019-09-06,1.125,1.135,1.12,1.131,156087287
2019-09-09,1.135,1.147,1.128,1.146,159701346
2019-09-10,1.145,1.16,1.125,1.13,165040025
2019-09-11,1.131,1.131,1.112,1.114,152652759
2019-09-12,1.117,1.12,1.11,1.119,114328398
2019-09-16,1.123,1.126,1.113,1.118,134837985
2019-09-17,1.118,1.118,1.077,1.079,184027620
2019-09-18,1.08,1.085,1.071,1.075,132470200
2019-09-19,1.077,1.091,1.075,1.09,114866599
2019-09-20,1.089,1.091,1.077,1.083,106300152
2019-09-23,1.08,1.086,1.073,1.082,147602764
2019-09-24,1.081,1.09,1.075,1.083,101250200
2019-09-25,1.081,1.081,1.062,1.066,138943803
2019-09-26,1.069,1.07,1.029,1.03,150977692
2019-09-27,1.029,1.04,1.026,1.034,180780741
2019-09-30,1.035,1.036,1.019,1.021,77900982
2019-10-08,1.023,1.025,1.003,1.004,102483283
2019-10-09,1.001,1.011,0.995,1.01,100481373
2019-10-10,1.006,1.014,1.002,1.014,81825290
2019-10-11,1.016,1.017,1.003,1.011,90229264
2019-10-14,1.012,1.03,1.012,1.029,166662983
2019-10-15,1.026,1.026,1.007,1.009,135962100
2019-10-16,1.009,1.013,1.001,1.002,145063850
2019-10-17,1.003,1.006,1.0,1.001,159401935
2019-10-18,1.001,1.004,0.983,0.985,146956880
2019-10-21,0.983,0.988,0.97,0.987,153725200
2019-10-22,0.986,1.0,0.986,1.0,166707300
2019-10-23,0.998,0.999,0.993,0.994,146538100
2019-10-24,0.993,0.993,0.982,0.989,151615200
2019-10-25,0.988,1.004,0.981,1.001,176068100
2019-10-28,1.006,1.025,1.006,1.024,194316519
2019-10-29,1.023,1.023,1.007,1.008,144056755
2019-10-30,1.006,1.006,0.994,1.001,74067600
2019-10-31,1.001,1.002,0.991,0.993,130578200
2019-11-01,0.996,1.006,0.993,1.004,95959500
2019-11-04,1.006,1.009,0.999,1.001,96022377
2019-11-05,1.002,1.009,0.997,1.006,107376242
2019-11-06,1.01,1.027,1.009,1.018,179757820
2019-11-07,1.018,1.02,1.012,1.014,114954260
2019-11-08,1.016,1.019,1.007,1.008,132576800
2019-11-11,1.005,1.005,0.983,0.984,120113100
2019-11-12,0.982,0.986,0.967,0.98,103880600
2019-11-13,0.978,0.982,0.975,0.979,77898900
2019-11-14,0.979,0.984,0.973,0.983,87500200
2019-11-15,0.979,0.984,0.971,0.972,80265300
2019-11-18,0.97,0.979,0.967,0.976,121560400
2019-11-19,0.975,0.992,0.975,0.991,119038043
2019-11-20,0.991,0.993,0.981,0.984,112453100
2019-11-21,0.982,0.992,0.977,0.99,145243200
2019-11-22,0.99,0.999,0.979,0.982,91555607
2019-11-25,0.983,0.986,0.97,0.979,62309100
2019-11-26,0.979,0.983,0.974,0.98,64849800
2019-11-27,0.979,0.983,0.975,0.977,50622200
2019-11-28,0.978,0.978,0.971,0.974,64314900
2019-11-29,0.974,0.981,0.968,0.977,126332325
2019-12-02,0.98,0.988,0.98,0.983,82691849
2019-12-03,0.981,0.991,0.978,0.991,90782049
2019-12-04,0.988,1.004,0.988,1.002,196146800
2019-12-05,1.004,1.016,1.003,1.013,97359000
2019-12-06,1.012,1.016,1.007,1.015,72441870
2019-12-09,1.015,1.016,1.01,1.011,73109700
2019-12-10,1.011,1.014,1.003,1.014,78205200
2019-12-11,1.014,1.016,1.007,1.01,67986800
2019-12-12,1.01,1.015,1.007,1.01,98460680
2019-12-13,1.012,1.017,1.009,1.017,66726712
2019-12-16,1.018,1.039,1.017,1.038,108300395
2019-12-17,1.04,1.055,1.04,1.05,84927373
2019-12-18,1.05,1.059,1.047,1.05,80370776
2019-12-19,1.052,1.055,1.044,1.047,61011575
2019-12-20,1.046,1.049,1.031,1.033,61396152
2019-12-23,1.028,1.035,1.012,1.015,84285400
2019-12-24,1.015,1.028,1.015,1.026,68795200
2019-12-25,1.025,1.036,1.025,1.036,79302165
2019-12-26,1.035,1.038,1.03,1.036,107303300
2019-12-27,1.037,1.047,1.033,1.033,115795300
2019-12-30,1.03,1.044,1.021,1.041,68975993
2019-12-31,1.036,1.043,1.033,1.04,66300953
2020-01-02,1.045,1.064,1.043,1.063,142107320
2020-01-03,1.061,1.081,1.06,1.077,212656950
2020-01-06,1.094,1.105,1.09,1.098,119161941
2020-01-07,1.097,1.105,1.091,1.104,129120800
2020-01-08,1.112,1.119,1.095,1.104,100295401
2020-01-09,1.092,1.101,1.09,1.1,134923312
2020-01-10,1.097,1.098,1.083,1.086,121558800
2020-01-13,1.083,1.102,1.081,1.101,131216120
2020-01-14,1.1,1.101,1.087,1.089,100874728
2020-01-15,1.085,1.087,1.074,1.082,154978673
2020-01-16,1.082,1.101,1.082,1.091,183436115
