Date,Open,High,Low,Close,Volume
2019-09-06,1.05,1.08,1.033,1.053,485995166
2019-09-09,1.069,1.133,1.057,1.123,461414577
2019-09-10,1.133,1.135,1.078,1.088,836776635
2019-09-11,1.094,1.095,1.067,1.072,422586630
2019-09-12,1.075,1.083,1.069,1.082,230615500
2019-09-16,1.085,1.095,1.071,1.085,261575234
2019-09-17,1.08,1.08,1.048,1.056,422728002
2019-09-18,1.059,1.064,1.051,1.056,206378291
2019-09-19,1.057,1.082,1.055,1.081,283289655
2019-09-20,1.084,1.096,1.08,1.081,284140216
2019-09-23,1.076,1.082,1.065,1.082,171509789
2019-09-24,1.082,1.107,1.08,1.098,326865380
2019-09-25,1.09,1.09,1.063,1.066,270499280
2019-09-26,1.067,1.072,1.019,1.021,470137100
2019-09-27,1.016,1.042,1.016,1.035,168927690
2019-09-30,1.03,1.04,1.014,1.019,159463200
2019-10-08,1.02,1.024,0.999,1.0,179029900
2019-10-09,0.998,1.011,0.981,1.01,161889000
2019-10-10,1.012,1.036,1.01,1.034,216781200
2019-10-11,1.036,1.038,1.022,1.032,124447289
2019-10-14,1.042,1.051,1.041,1.043,151508489
2019-10-15,1.041,1.042,1.016,1.017,136472589
2019-10-16,1.018,1.022,1.007,1.008,118038300
2019-10-17,1.008,1.014,1.003,1.011,73090800
2019-10-18,1.012,1.021,0.995,0.999,160001200
2019-10-21,0.996,0.996,0.976,0.991,146922900
2019-10-22,0.991,1.005,0.991,1.005,95358600
2019-10-23,1.006,1.009,0.998,0.998,104718900
2019-10-24,0.997,1.0,0.986,0.995,72045000
2019-10-25,0.994,1.008,0.985,1.005,108279600
2019-10-28,1.025,1.029,1.013,1.028,180912900
2019-10-29,1.027,1.03,1.01,1.01,134884800
2019-10-30,1.003,1.014,0.993,1.003,103883700
2019-10-31,1.006,1.013,0.996,0.998,78767000
2019-11-01,0.996,1.01,0.994,1.006,86783636
2019-11-04,1.011,1.031,1.008,1.022,186626086
2019-11-05,1.028,1.028,1.014,1.025,83750100
2019-11-06,1.021,1.028,1.008,1.01,77132600
2019-11-07,1.009,1.019,1.009,1.016,45251100
2019-11-08,1.022,1.036,1.02,1.022,160640950
2019-11-11,1.018,1.019,0.995,0.998,137922700
2019-11-12,0.999,1.002,0.976,0.992,146136900
2019-11-13,0.992,1.0,0.982,0.999,86558100
2019-11-14,0.995,1.015,0.993,1.009,127440012
2019-11-15,1.005,1.012,0.992,0.995,114728636
2019-11-18,0.993,1.0,0.989,0.998,51524600
2019-11-19,0.997,1.018,0.994,1.017,130496744
2019-11-20,1.015,1.019,1.006,1.008,85653444
2019-11-21,1.002,1.01,0.997,1.008,60865900
2019-11-22,1.006,1.03,0.999,1.004,175307288
2019-11-25,1.001,1.003,0.98,0.984,153659688
2019-11-26,0.987,0.993,0.98,0.985,74589182
2019-11-27,0.981,1.001,0.977,0.995,127874500
2019-11-28,0.992,1.003,0.991,0.993,60747400
2019-11-29,0.993,0.999,0.986,0.996,70904800
2019-12-02,0.998,1.009,0.996,1.003,94410200
2019-12-03,0.998,1.012,0.995,1.011,79921900
2019-12-04,1.004,1.011,1.0,1.008,67732667
2019-12-05,1.008,1.034,1.008,1.027,205313079
2019-12-06,1.027,1.036,1.023,1.036,94741604
2019-12-09,1.038,1.044,1.034,1.037,105735533
2019-12-10,1.032,1.054,1.03,1.052,120386047
2019-12-11,1.045,1.062,1.044,1.048,113327773
2019-12-12,1.05,1.065,1.047,1.055,114052806
2019-12-13,1.065,1.069,1.049,1.06,93062581
2019-12-16,1.062,1.079,1.059,1.078,122607988
2019-12-17,1.08,1.098,1.079,1.093,156437400
2019-12-18,1.1,1.11,1.09,1.092,114518204
2019-12-19,1.093,1.099,1.081,1.089,84500904
2019-12-20,1.087,1.092,1.068,1.068,65530500
2019-12-23,1.06,1.061,1.036,1.038,92922800
2019-12-24,1.043,1.055,1.039,1.055,51583131
2019-12-25,1.051,1.072,1.046,1.066,76214831
2019-12-26,1.066,1.071,1.06,1.07,41535800
2019-12-27,1.07,1.08,1.054,1.059,55916600
2019-12-30,1.048,1.066,1.032,1.066,53227600
2019-12-31,1.065,1.075,1.06,1.07,51439800
2020-01-02,1.078,1.092,1.069,1.088,121677000
2020-01-03,1.094,1.104,1.086,1.094,109191600
2020-01-06,1.085,1.115,1.082,1.103,123640845
2020-01-07,1.103,1.11,1.096,1.109,60217845
2020-01-08,1.103,1.106,1.083,1.088,106279600
2020-01-09,1.096,1.124,1.095,1.124,90563500
2020-01-10,1.13,1.136,1.117,1.127,61490900
2020-01-13,1.127,1.155,1.12,1.153,72004800
2020-01-14,1.154,1.157,1.135,1.137,61759400
2020-01-15,1.136,1.145,1.126,1.139,53900100
2020-01-16,1.139,1.15,1.135,1.139,46516600
2020-01-17,1.146,1.155,1.137,1.141,53178000
2020-01-20,1.148,1.178,1.143,1.178,62289685
2020-01-21,1.177,1.184,1.163,1.166,61676085
2020-01-22,1.156,1.193,1.141,1.186,92244700
2020-01-23,1.174,1.18,1.118,1.137,118373000
2020-02-03,1.026,1.05,1.023,1.023,127041300
2020-02-04,1.027,1.041,1.007,1.037,316438600
2020-02-05,1.04,1.075,1.034,1.05,185278400
2020-02-06,1.05,1.08,1.04,1.073,139223752
2020-02-07,1.071,1.09,1.065,1.089,108038300
2020-02-10,1.086,1.098,1.079,1.096,80329344
2020-02-11,1.101,1.108,1.086,1.097,71012552
2020-02-12,1.091,1.115,1.087,1.115,84234403
2020-02-13,1.113,1.125,1.099,1.106,79659200
2020-02-14,1.101,1.127,1.098,1.107,95983986
2020-02-17,1.12,1.175,1.12,1.174,160888250
2020-02-18,1.172,1.182,1.155,1.182,109604316
2020-02-19,1.178,1.204,1.168,1.176,104662020
2020-02-20,1.179,1.205,1.166,1.205,94142917
2020-02-21,1.21,1.252,1.205,1.245,105726880
2020-02-24,1.272,1.355,1.259,1.352,360151735
2020-02-25,1.335,1.396,1.266,1.388,572821800
2020-02-26,1.356,1.373,1.285,1.296,366668700
2020-02-27,1.31,1.33,1.261,1.299,311404887
2020-02-28,1.225,1.26,1.201,1.215,333166926
2020-03-02,1.244,1.316,1.222,1.296,374757100
2020-03-03,1.356,1.364,1.266,1.288,520212827
2020-03-04,1.263,1.293,1.23,1.271,326512546
2020-03-05,1.314,1.323,1.257,1.278,366314710
2020-03-06,1.247,1.28,1.241,1.265,182559538
2020-03-09,1.244,1.291,1.23,1.23,353327653
2020-03-10,1.235,1.338,1.203,1.332,642137600
2020-03-11,1.353,1.37,1.292,1.294,788122396
2020-03-12,1.262,1.305,1.262,1.301,667298449
2020-03-13,1.242,1.324,1.242,1.301,874437756
2020-03-16,1.297,1.297,1.182,1.189,663444202
2020-03-17,1.212,1.229,1.13,1.185,449950887
2020-03-18,1.193,1.22,1.141,1.142,359261841
2020-03-19,1.148,1.21,1.129,1.188,498737398
2020-03-20,1.217,1.218,1.171,1.195,463650790
2020-03-23,1.153,1.2,1.141,1.148,600912826
2020-03-24,1.18,1.187,1.12,1.169,458215560
2020-03-25,1.196,1.202,1.178,1.19,433772294
2020-03-26,1.17,1.178,1.15,1.151,324935273
2020-03-27,1.169,1.173,1.131,1.133,202915607
2020-03-30,1.113,1.114,1.066,1.084,325210113
2020-03-31,1.101,1.105,1.071,1.072,240127027
2020-04-01,1.062,1.096,1.062,1.065,183758777
2020-04-02,1.065,1.117,1.064,1.114,301326673
2020-04-03,1.105,1.11,1.084,1.09,159346349
2020-04-07,1.119,1.125,1.11,1.121,156044446
2020-04-08,1.113,1.146,1.111,1.139,211434585
2020-04-09,1.148,1.155,1.14,1.143,119418417
2020-04-10,1.138,1.142,1.093,1.098,217563432
2020-04-13,1.085,1.085,1.059,1.065,300613565
2020-04-14,1.072,1.095,1.072,1.094,140310288
2020-04-15,1.092,1.106,1.084,1.087,140555536
2020-04-16,1.074,1.099,1.07,1.095,98662538
2020-04-17,1.107,1.12,1.095,1.098,140281000
2020-04-20,1.097,1.116,1.096,1.116,124249413
2020-04-21,1.109,1.113,1.09,1.112,111418987
2020-04-22,1.099,1.116,1.098,1.115,76381886
2020-04-23,1.116,1.122,1.087,1.089,90117087
2020-04-24,1.089,1.099,1.066,1.071,91348822
2020-04-27,1.075,1.085,1.064,1.072,96174150
2020-04-28,1.073,1.074,1.019,1.062,181691100
2020-04-29,1.052,1.066,1.047,1.055,126212781
2020-04-30,1.068,1.113,1.065,1.108,209142787
2020-05-06,1.096,1.14,1.096,1.137,175971295
2020-05-07,1.16,1.168,1.13,1.131,205272094
2020-05-08,1.142,1.161,1.14,1.153,216040563
2020-05-11,1.16,1.177,1.154,1.167,195860783
2020-05-12,1.161,1.164,1.133,1.157,127054581
2020-05-13,1.143,1.156,1.142,1.151,71703649
2020-05-14,1.145,1.153,1.137,1.139,84568823
2020-05-15,1.148,1.162,1.138,1.147,113520800
2020-05-18,1.148,1.151,1.11,1.114,124590884
2020-05-19,1.12,1.129,1.113,1.125,78120843
2020-05-20,1.123,1.133,1.106,1.115,103195084
2020-05-21,1.117,1.118,1.083,1.09,138447903
2020-05-22,1.09,1.098,1.064,1.075,120401215
2020-05-25,1.065,1.067,1.037,1.043,151533100
2020-05-26,1.05,1.069,1.05,1.066,106916816
2020-05-27,1.065,1.069,1.051,1.055,72007885
2020-05-28,1.053,1.061,1.029,1.048,120266685
2020-05-29,1.041,1.053,1.04,1.048,60163087
2020-06-01,1.065,1.103,1.061,1.102,161756725
2020-06-02,1.106,1.12,1.098,1.114,124922515
2020-06-03,1.114,1.135,1.105,1.115,117983425
2020-06-04,1.117,1.122,1.106,1.107,63867793
2020-06-05,1.111,1.12,1.103,1.114,72476200
2020-06-08,1.13,1.145,1.12,1.122,77564210
2020-06-09,1.123,1.127,1.113,1.125,67467610
2020-06-10,1.122,1.125,1.113,1.12,90914400
2020-06-11,1.12,1.141,1.112,1.12,91247300
2020-06-12,1.095,1.12,1.093,1.116,68410000
2020-06-15,1.108,1.122,1.1,1.101,68639969
2020-06-16,1.12,1.14,1.112,1.131,116531800
2020-06-17,1.136,1.136,1.116,1.125,58139067
2020-06-18,1.126,1.154,1.118,1.147,223324867
2020-06-19,1.146,1.163,1.137,1.155,171732246
2020-06-22,1.154,1.17,1.151,1.165,150498680
2020-06-23,1.163,1.163,1.142,1.151,108007407
2020-06-24,1.152,1.161,1.15,1.158,83171400
2020-06-29,1.15,1.155,1.137,1.142,75055900
2020-06-30,1.149,1.174,1.149,1.17,105650615
2020-07-01,1.175,1.178,1.153,1.17,102244405
2020-07-02,1.17,1.19,1.159,1.189,138881537
2020-07-03,1.189,1.218,1.178,1.214,142373395
2020-07-06,1.231,1.278,1.218,1.272,237717339
2020-07-07,1.318,1.318,1.263,1.274,258651460
