Date,Open,High,Low,Close,Volume
2022-05-20,51.01,56.66,47.71,56.66,236289.13
2022-05-23,56.5,59.75,53.88,54.11,145094.17
2022-05-24,54.0,54.53,48.45,48.45,103765.78
2022-05-25,48.07,48.8,45.25,46.4,73821.75
2022-05-26,46.0,46.2,42.85,43.16,77929.13
2022-05-27,43.65,43.78,40.6,41.68,73508.23
2022-05-30,42.4,44.08,42.34,42.98,57052.83
2022-05-31,43.0,47.77,41.0,45.74,82156.22
2022-06-01,45.4,47.47,44.55,47.1,64492.14
2022-06-02,46.34,52.21,45.8,49.95,84763.93
2022-06-06,49.99,53.6,48.89,50.15,98812.35
2022-06-07,49.3,51.0,48.97,50.01,51265.2
2022-06-08,50.01,50.3,47.07,48.92,57271.24
2022-06-09,48.77,48.77,45.93,47.3,33584.95
2022-06-10,46.88,48.65,46.7,47.92,25787.49
2022-06-13,47.0,50.95,47.0,50.04,35704.01
2022-06-14,49.09,51.35,48.58,49.66,29898.49
2022-06-15,49.84,51.2,47.49,47.65,35635.22
2022-06-16,48.06,49.9,47.2,48.06,21434.21
2022-06-17,47.92,48.06,46.51,47.35,17794.34
2022-06-20,46.73,48.6,46.73,46.81,26088.96
2022-06-21,47.14,47.79,45.22,45.56,20046.61
2022-06-22,45.56,45.98,43.06,44.58,30157.81
2022-06-23,44.74,49.55,44.6,48.9,33733.02
2022-06-24,50.12,55.97,48.81,53.1,58249.57
2022-06-27,53.22,57.25,52.3,56.0,42242.88
2022-06-28,55.0,57.2,53.3,55.6,34800.84
2022-06-29,55.76,59.59,55.0,55.95,33048.91
2022-06-30,55.62,59.4,55.62,57.31,22941.79
2022-07-01,57.15,60.65,57.0,58.87,23151.37
2022-07-04,58.0,59.4,55.0,58.35,26163.54
2022-07-05,58.5,59.28,54.67,55.5,28534.77
2022-07-06,55.85,57.47,54.18,54.81,21885.94
2022-07-07,54.81,58.87,53.12,57.51,20814.14
2022-07-08,57.8,58.4,54.8,55.89,18953.09
2022-07-11,55.35,55.68,52.53,53.65,22423.04
2022-07-12,53.94,54.85,50.12,51.55,30686.83
2022-07-13,51.1,51.35,49.2,49.3,27345.5
2022-07-14,49.27,51.17,49.0,50.53,14798.52
2022-07-15,50.58,55.0,49.9,53.18,22041.79
2022-07-18,52.6,54.15,51.34,52.41,13345.93
2022-07-19,52.66,53.4,50.89,51.38,10843.8
2022-07-20,51.41,53.64,50.85,50.93,14058.53
2022-07-21,50.91,54.55,50.18,52.65,22179.13
2022-07-22,53.08,53.5,48.6,49.45,26759.1
2022-07-25,49.06,49.91,47.01,47.55,11823.51
2022-07-26,50.0,52.98,49.16,52.15,24193.55
2022-07-27,52.61,53.73,51.0,51.1,13401.82
2022-07-28,52.15,60.88,51.73,59.62,49906.99
2022-07-29,58.21,59.89,57.2,58.73,26068.45
2022-08-01,57.75,60.6,57.7,58.56,15321.66
2022-08-02,58.09,59.96,56.56,56.98,20887.14
2022-08-03,57.11,60.2,56.88,57.6,23122.84
2022-08-04,58.35,58.92,56.41,57.11,18290.56
2022-08-05,57.48,65.2,57.18,65.15,35191.24
2022-08-08,64.34,64.56,60.2,61.99,24800.41
2022-08-09,61.09,62.3,60.5,62.18,17470.82
2022-08-10,60.9,60.99,59.85,60.75,23992.47
2022-08-11,60.75,62.79,60.5,61.44,18229.49
2022-08-12,61.3,64.3,60.62,60.97,17851.46
2022-08-15,60.9,60.9,58.19,59.44,11507.25
2022-08-16,60.14,61.32,59.0,60.01,9363.79
2022-08-17,59.69,60.49,57.3,57.65,23800.28
2022-08-18,58.23,59.27,57.0,58.83,13972.32
2022-08-19,59.1,60.22,56.12,56.18,14461.87
2022-08-22,57.03,57.03,54.8,55.11,9934.51
2022-08-23,55.78,55.78,54.73,55.4,9589.67
2022-08-24,55.42,55.42,51.5,51.65,16541.77
2022-08-25,52.0,52.2,48.88,49.66,20165.44
2022-08-26,49.88,52.5,49.13,51.68,20261.97
2022-08-29,49.1,52.3,48.02,51.59,19027.32
2022-08-30,51.66,52.69,50.61,50.9,8721.82
2022-08-31,50.89,51.4,48.52,48.75,9913.42
2022-09-01,49.2,50.67,48.0,48.29,8331.38
2022-09-02,49.04,49.3,47.81,49.27,5397.76
2022-09-05,49.0,49.2,46.5,47.06,11538.25
2022-09-06,47.06,47.8,46.22,46.9,10373.5
2022-09-07,47.18,50.87,47.08,49.81,17369.21
2022-09-08,50.2,52.37,49.5,50.3,13632.15
2022-09-09,50.05,50.97,48.66,49.55,6676.35
2022-09-13,49.55,52.8,49.22,51.22,16946.11
2022-09-14,50.0,51.98,49.88,51.67,12249.51
2022-09-15,51.06,51.95,47.12,48.38,16139.69
2022-09-16,48.38,49.48,47.69,47.93,9325.89
2022-09-19,47.66,48.3,45.44,46.2,11900.82
2022-09-20,46.0,47.54,45.62,45.99,9158.61
2022-09-21,45.68,46.34,44.0,45.41,8219.0
2022-09-22,45.8,46.8,44.66,45.5,10218.04
2022-09-23,45.47,46.11,41.6,42.23,17698.43
2022-09-26,41.8,43.47,40.98,42.35,12716.63
2022-09-27,42.43,44.1,42.35,43.22,9593.92
2022-09-28,43.1,43.1,40.93,40.93,8665.02
2022-09-29,41.0,42.83,41.0,41.89,7206.1
2022-09-30,42.21,42.35,39.96,40.0,9498.69
2022-10-10,39.6,39.6,37.11,37.56,10153.48
2022-10-11,37.5,37.91,34.0,35.12,15043.34
2022-10-12,34.95,36.65,34.0,36.63,13250.75
2022-10-13,36.48,38.2,36.3,36.73,10151.18
2022-10-14,37.9,39.19,36.92,39.0,12448.11
2022-10-17,38.97,41.0,38.54,39.59,10842.92
2022-10-18,39.59,39.8,37.71,37.78,11935.2
2022-10-19,37.3,37.99,37.07,37.25,5219.85
2022-10-20,36.67,39.47,36.2,38.39,11877.7
2022-10-21,39.52,39.52,36.77,37.78,10400.08
2022-10-24,37.78,38.75,36.95,37.0,8699.43
2022-10-25,37.99,38.83,36.47,36.99,8842.96
2022-10-26,37.0,38.9,36.39,38.43,12032.93
2022-10-27,38.28,38.7,36.99,37.26,9801.58
2022-10-28,36.73,37.94,35.86,36.02,9682.17
2022-10-31,34.08,36.32,34.08,35.32,8691.68
2022-11-01,35.39,35.8,34.2,35.0,15870.13
2022-11-02,35.4,38.1,34.71,37.56,18336.22
2022-11-03,37.6,40.87,37.37,39.87,21183.95
2022-11-04,40.5,42.7,39.66,41.95,27027.52
2022-11-07,41.7,45.67,41.65,44.99,33760.39
2022-11-08,45.0,45.0,42.6,42.84,17283.98
2022-11-09,43.29,44.3,41.51,41.6,13696.24
2022-11-10,41.42,42.35,40.18,40.66,11357.9
2022-11-11,42.2,46.95,42.2,43.88,27858.61
2022-11-14,43.84,43.88,41.7,42.05,15595.19
2022-11-15,42.8,45.78,41.77,44.6,28008.49
2022-11-16,45.71,47.07,44.0,45.9,28514.42
2022-11-17,44.97,47.51,43.66,47.26,21707.01
2022-11-18,46.9,48.17,45.3,45.34,19334.39
2022-11-21,44.98,47.53,44.02,46.76,23442.07
2022-11-22,47.23,48.93,45.03,45.49,23056.82
2022-11-23,45.94,47.19,44.74,44.86,16343.73
2022-11-24,44.77,45.41,43.8,44.4,11390.16
2022-11-25,44.12,44.84,42.7,42.8,11700.81
2022-11-28,41.94,42.88,41.08,41.97,10440.19
2022-11-29,42.9,43.46,41.24,43.2,9768.95
2022-11-30,42.89,44.2,42.31,42.56,6860.26
2022-12-01,43.0,46.63,42.88,44.15,19407.68
2022-12-02,44.58,46.2,44.0,45.19,12354.1
2022-12-05,45.08,45.88,43.92,45.01,18221.26
2022-12-06,44.99,47.3,44.56,46.12,16554.77
2022-12-07,46.09,46.58,44.68,45.28,13336.11
2022-12-08,45.02,45.48,43.89,44.18,7433.56
2022-12-09,44.95,47.88,43.8,46.51,17743.19
2022-12-12,46.0,50.5,45.25,49.69,20823.16
2022-12-13,49.9,50.28,48.68,49.18,11493.74
2022-12-14,50.19,51.99,46.83,46.95,15783.67
2022-12-15,47.0,48.21,46.2,47.28,9027.11
2022-12-16,47.72,47.72,45.72,46.25,6351.27
2022-12-19,46.25,46.5,43.99,44.25,5934.63
2022-12-20,44.25,44.5,43.61,43.87,2826.73
2022-12-21,43.11,44.05,42.04,42.5,5081.69
2022-12-22,43.0,43.03,40.86,41.47,5909.64
2022-12-23,41.05,41.7,40.2,40.77,7338.74
2022-12-26,40.76,43.07,40.44,42.88,7859.39
2022-12-27,42.88,43.96,41.49,42.55,7913.86
2022-12-28,42.1,42.55,41.1,41.2,4053.21
2022-12-29,41.0,41.7,40.0,40.13,5175.9
2022-12-30,40.7,40.89,38.59,38.8,7078.78
2023-01-03,38.3,42.0,38.3,41.39,8508.48
2023-01-04,41.81,41.98,39.2,40.2,9188.02
2023-01-05,40.0,40.91,39.6,40.43,4346.82
