序号,名称,H股代码,最新价-HKD,H股-涨跌幅,A股代码,最新价-RMB,A股-涨跌幅,比价,溢价
2,美格智能,03268,19.09,11.64,002881,39.05,10.0,2.37,136.95
3,埃斯顿,02715,22.7,7.58,002747,42.43,3.74,2.17,116.51
4,滨化股份,06745,3.04,5.92,601678,5.07,-0.59,1.93,93.18
5,广和通,00638,7.95,5.86,300638,20.68,13.75,3.01,201.32
6,福耀玻璃,03606,54.4,5.73,600660,53.0,0.19,1.13,12.85
7,吉宏股份,02603,15.5,5.08,002803,20.83,-6.26,1.56,55.67
8,比亚迪,01211,90.95,4.6,002594,94.14,2.59,1.2,19.9
9,万  科Ａ,02202,2.51,4.58,000002,3.23,3.19,1.49,49.06
10,一拖股份,00038,7.68,4.49,601038,12.22,4.0,1.84,84.31
11,浙江世宝,01057,3.66,4.27,002703,13.16,3.95,4.16,316.5
12,春立医疗,01858,9.59,4.13,688236,15.88,3.66,1.92,91.81
13,豪威集团,00501,88.35,3.94,603501,109.85,-1.14,1.44,44.02
14,赛力斯,09927,45.22,3.81,601127,56.37,0.86,1.44,44.4
15,牧原股份,02714,34.1,3.52,002714,40.9,3.15,1.39,38.93
16,峰岹科技,01304,128.5,3.46,688279,208.0,-1.23,1.87,87.5
17,中创智领,00564,13.85,3.36,601717,15.18,1.13,1.27,26.96
18,南华期货,02691,6.41,3.22,603093,16.93,-0.7,3.06,205.94
19,中兴通讯,00763,26.28,3.14,000063,40.0,1.39,1.76,76.31
20,山东黄金,01787,18.27,2.93,600547,24.76,0.28,1.57,56.98
21,洛阳钼业,03993,16.29,2.91,603993,18.2,1.62,1.29,29.42
22,均胜电子,00699,13.1,2.75,600699,20.95,0.53,1.85,85.25
23,中国中冶,01618,1.52,2.7,601618,2.64,0.38,2.01,101.19
24,上海医药,02607,12.21,2.69,601607,17.04,1.01,1.62,61.66
25,中国石化,00386,4.24,2.42,600028,4.99,-0.8,1.36,36.32
26,广汽集团,02238,2.21,2.31,601238,5.16,1.57,2.7,170.46
27,中国东航,00670,3.14,2.28,600115,3.57,-1.38,1.32,31.7
28,东鹏饮料,09980,114.9,2.22,605499,129.65,1.73,1.31,30.7
29,紫金矿业,02899,30.86,2.19,601899,29.25,1.46,1.1,9.79
30,复星医药,02196,16.9,2.18,600196,24.71,-0.52,1.69,69.37
31,康希诺,06185,25.02,2.12,688185,52.95,0.0,2.45,145.14
32,南方航空,01055,3.37,2.12,600029,5.03,-0.4,1.73,72.89
33,海普瑞,09989,4.41,2.08,002399,10.36,2.47,2.72,172.12
34,龙源电力,00916,5.45,2.06,001289,16.24,0.0,3.45,245.17
35,胜宏科技,02476,240.8,1.95,300476,270.93,-2.11,1.3,30.33
36,福莱特,06865,6.38,1.92,601865,9.25,-0.22,1.68,67.94
37,三一重工,06031,19.14,1.92,600031,18.95,-1.1,1.15,14.68
38,中国能建,03996,1.09,1.87,601868,2.52,-1.18,2.68,167.8
39,深高速,00548,6.62,1.85,600548,8.47,-0.59,1.48,48.21
40,南京熊猫,00553,3.36,1.82,600775,8.91,0.68,3.07,207.17
41,丽珠集团,01513,26.96,1.81,000513,31.49,0.54,1.35,35.3
42,时代电气,03898,34.28,1.78,688187,47.6,0.21,1.61,60.84
