date,value
2008-01-01,15898.104
2008-02-01,16471.3371
2008-03-01,16821.77
2008-04-01,17566.5514
2008-05-01,17969.6074
2008-06-01,18088.2805
2008-07-01,18451.6418
2008-08-01,18841.5279
2008-09-01,19055.8452
2008-10-01,18796.88
2008-11-01,18847.17
2008-12-01,19460.3
2009-01-01,19134.56
2009-02-01,19120.66
2009-03-01,19537.41
2009-04-01,20088.8
2009-05-01,20894.91
2009-06-01,21316.06
2009-07-01,21746.1791
2009-08-01,22108.2688
2009-09-01,22725.9517
2009-10-01,23282.72
2009-11-01,23887.8847
2009-12-01,23991.5229
2010-01-01,24152.21
2010-02-01,24245.9067
2010-03-01,24470.84
2010-04-01,24905.12
2010-05-01,24395.0578
2010-06-01,24542.748
2010-07-01,25388.94
2010-08-01,25478.38
2010-09-01,26483.03
2010-10-01,27608.99
2010-11-01,27678.09
2010-12-01,28473.38
2011-01-01,29316.74
2011-02-01,29913.86
2011-03-01,30446.74
2011-04-01,31458.43
2011-05-01,31659.97
2011-06-01,31974.9082
2011-07-01,32452.83
2011-08-01,32624.99
2011-09-01,32016.83
2011-10-01,32737.96
2011-11-01,32209.07
2011-12-01,31811.48
2012-01-01,32536.31
2012-02-01,33096.57
2012-03-01,33049.71
2012-04-01,32989.13
2012-05-01,32061.09
2012-06-01,32400.05
2012-07-01,32399.52
2012-08-01,32729.01
2012-09-01,32850.95
2012-10-01,32874.2558
2012-11-01,32976.7139
2012-12-01,33115.8923
2013-01-01,34100.61
2013-02-01,33954.18
2013-03-01,34426.49
2013-04-01,35344.82
2013-05-01,35148.074
2013-06-01,34966.86
2013-07-01,35478.1
2013-08-01,35530.43
2013-09-01,36626.62
2013-10-01,37365.87
2013-11-01,37894.51
2013-12-01,38213.15
2014-01-01,38666.4062
2014-02-01,39137.3922
2014-03-01,39480.9654
2014-04-01,39787.9516
2014-05-01,39838.90411
2014-06-01,39932.1272
2014-07-01,39662.67
2014-08-01,39688.25
2014-09-01,38877.0
2014-10-01,38529.1824
2014-11-01,38473.5402
2014-12-01,38430.1794
2015-01-01,38134.1378
2015-02-01,38015.0251
2015-03-01,37300.3795
2015-04-01,37481.42
2015-05-01,37111.43
2015-06-01,36938.38
2015-07-01,36513.0989
2015-08-01,35573.81
2015-09-01,35141.2
2015-10-01,35255.07
2015-11-01,34382.84
2015-12-01,33303.62
2016-01-01,32308.93
2016-02-01,32023.21
2016-03-01,32125.79
2016-04-01,32196.68
2016-05-01,31917.36
2016-06-01,32051.62
2016-07-01,32010.57
2016-08-01,31851.67
2016-09-01,31663.82
2016-10-01,31206.55
2016-11-01,30515.98
2016-12-01,30105.17
2017-01-01,29982.04
2017-02-01,30051.24
2017-03-01,30090.88
2017-04-01,30295.33
2017-05-01,30535.67
2017-06-01,30567.89
2017-07-01,30807.2
2017-08-01,30915.27
2017-09-01,31085.1
2017-10-01,31092.13
2017-11-01,31192.77
2017-12-01,31399.49
2018-01-01,31614.57
2018-02-01,31344.82
2018-03-01,31428.2
2018-04-01,31248.52
2018-05-01,31106.23
2018-06-01,31121.29
2018-07-01,31179.46
2018-08-01,31097.16
2018-09-01,30870.25
2018-10-01,30530.98
2018-11-01,30616.97
2018-12-01,30727.12
2019-01-01,30879.24
2019-02-01,30901.8
2019-03-01,30987.61
2019-04-01,30949.53
2019-05-01,31010.04
2019-06-01,31192.34
2019-07-01,31036.97
2019-08-01,31071.76
2019-09-01,30924.31
2019-10-01,31051.61
2019-11-01,30955.91
2019-12-01,31079.24
2020-01-01,31154.97
2020-02-01,31067.18
2020-03-01,30606.33
2020-04-01,30914.59
2020-05-01,31016.92
2020-06-01,31123.28
2020-07-01,31543.91
2020-08-01,31646.09
2020-09-01,31425.62
2020-10-01,31279.82
2020-11-01,31784.9
2020-12-01,32165.22
2021-01-01,32106.71
2021-02-01,32049.94
2021-03-01,31700.29
2021-04-01,31981.8
2021-05-01,32218.03
2021-06-01,32140.1
2021-07-01,32358.9
2021-08-01,32321.16
2021-09-01,32006.26
2021-10-01,32176.14
2021-11-01,32223.86
2021-12-01,32501.66
2022-01-01,32216.32
2022-02-01,32138.27
2022-03-01,31879.94
2022-04-01,31197.2
2022-05-01,31277.8
2022-06-01,30712.72
2022-07-01,31040.71
2022-08-01,30548.81
2022-09-01,30289.55
2022-10-01,30524.27
2022-11-01,31174.88
2022-12-01,31276.91
2023-01-01,31844.62
2023-02-01,31331.53
2023-03-01,31838.72
2023-04-01,32047.66
2023-05-01,31765.08
2023-06-01,31929.98
2023-07-01,32042.7
2023-08-01,31600.98
2023-09-01,31150.7
2023-10-01,31012.24
2023-11-01,31718.07
2023-12-01,32379.77
2024-01-01,32193.2
2024-02-01,32258.17
2024-03-01,32456.57
2024-04-01,32008.31
2024-05-01,32320.39
2024-06-01,32223.58
2024-07-01,32563.72
2024-08-01,32882.15
2024-09-01,33163.67
2024-10-01,32610.5
2024-11-01,32658.6
2024-12-01,32023.57
2025-01-01,32090.36
2025-02-01,32272.24
2025-03-01,32406.65
2025-04-01,32816.62
2025-05-01,32852.55
2025-06-01,33174.22
2025-07-01,32922.35
2025-08-01,33221.54
2025-09-01,33386.58
2025-10-01,33433.43
2025-11-01,33463.72
2025-12-01,33578.69
2026-01-01,33990.78
2026-02-01,34278.07
2026-03-01,33421.23
2026-04-01,34105.47
2026-05-01,34422.38
2026-06-01,34162.62
2026-07-01,34187.76
