date,value
2006-03-28,12.4
2006-06-28,13.1
2006-09-28,12.7
2006-12-28,12.7
2007-03-28,13.6
2007-06-28,14.3
2007-09-28,14.3
2007-12-28,14.2
2008-03-28,11.6
2008-06-28,11.3
2008-09-28,10.7
2008-12-28,9.7
2009-03-28,6.4
2009-06-28,7.3
2009-09-28,8.5
2009-12-28,9.4
2010-03-28,12.2
2010-06-28,11.4
2010-09-28,10.8
2010-12-28,10.6
2011-03-28,10.1
2011-06-28,10.0
2011-09-28,9.8
2011-12-28,9.5
2012-03-28,8.1
2012-06-28,7.9
2012-09-28,7.7
2012-12-28,7.9
2013-03-28,7.9
2013-06-28,7.7
2013-09-28,7.8
2013-12-28,7.8
2014-03-28,7.6
2014-06-28,7.6
2014-09-28,7.5
2014-12-28,7.5
2015-03-28,7.1
2015-06-28,7.1
2015-09-28,7.0
2015-12-28,7.0
2016-03-28,6.8
2016-06-28,6.8
2016-09-28,6.8
2016-12-28,6.8
2017-03-28,7.0
2017-06-28,7.0
2017-09-28,6.9
2017-12-28,6.9
2018-03-28,6.9
2018-06-28,6.9
2018-09-28,6.8
2018-12-28,6.8
2019-03-28,6.4
2019-06-28,6.2
2019-09-28,6.1
2019-12-28,6.1
2020-03-28,-6.8
2020-06-28,-1.6
2020-09-28,0.7
2020-12-28,2.3
2021-03-28,18.9
2021-06-28,13.0
2021-09-28,10.2
2021-12-28,8.6
2022-03-28,4.8
2022-06-28,2.7
2022-09-28,3.2
2022-12-28,3.1
2023-03-28,4.7
2023-06-28,5.7
2023-09-28,5.4
2023-12-28,5.4
2024-03-28,5.3
2024-06-28,5.0
2024-09-28,4.8
2024-12-28,5.0
2025-03-28,5.4
2025-06-28,5.3
2025-09-28,5.2
2025-12-28,5.0
2026-03-28,5.0
2026-06-28,4.7
