date,value
2007-01-01,1.90389846
2007-02-01,2.38095238
2007-03-01,1.00090992
2007-04-01,2.65082267
2007-05-01,3.10786106
2007-06-01,3.55191257
2007-07-01,2.91704649
2007-08-01,2.99455535
2007-09-01,1.25335721
2007-10-01,0.89605735
2007-11-01,0.0
2007-12-01,0.0
2008-01-01,-0.71174377
2008-02-01,-1.61001789
2008-03-01,-0.63063063
2008-04-01,-2.31522707
2008-05-01,-2.4822695
2008-06-01,-3.43007916
2008-07-01,-2.3914969
2008-08-01,-3.70044053
2008-09-01,-3.71352785
2008-10-01,-4.1740675
2008-11-01,-6.07142857
2008-12-01,-9.99115827
2009-01-01,-9.26979928
2009-02-01,-8.20466182
2009-03-01,-9.04672348
2009-04-01,-8.37907748
2009-05-01,-8.03494545
2009-06-01,-8.03745719
2009-07-01,-7.33363339
2009-08-01,-6.03683806
2009-09-01,-5.60598714
2009-10-01,-4.34186469
2009-11-01,-1.77584791
2009-12-01,2.08697682
2010-01-01,3.40239916
2010-02-01,3.19399068
2010-03-01,7.5542518
2010-04-01,6.06104866
2010-05-01,6.75991948
2010-06-01,7.4524759
2010-07-01,5.56380394
2010-08-01,4.4772992
2010-09-01,1.27128652
2010-10-01,0.52005167
2010-11-01,-0.42911085
2010-12-01,-3.39144375
2011-01-01,-4.58452722
2011-02-01,-4.3940499
2011-03-01,-0.27859129
2011-04-01,0.0
2011-05-01,-2.03703704
2011-06-01,-0.36866359
2011-07-01,-2.04081633
2011-08-01,-2.14352283
2011-09-01,-0.70306114
2011-10-01,-3.16321918
2011-11-01,-5.69393634
2011-12-01,0.05976096
2012-01-01,4.02402402
2012-02-01,5.41510157
2012-03-01,-7.02178637
2012-04-01,-3.37711069
2012-05-01,-1.53213611
2012-06-01,-8.14061055
2012-07-01,-7.00757576
2012-08-01,-5.32438095
2012-09-01,-2.44461643
2012-10-01,5.56384991
2012-11-01,8.31701536
2012-12-01,3.22516424
2013-01-01,0.55812163
2013-02-01,3.03191895
2013-03-01,2.55487585
2013-04-01,0.67961165
2013-05-01,-4.9712514
2013-06-01,-2.31621349
2013-07-01,-1.01832994
2013-08-01,-1.61896159
2013-09-01,-1.03428101
2013-10-01,-2.9794456
2013-11-01,-5.89914367
2013-12-01,-1.35004822
2014-01-01,-3.25358852
2014-02-01,-4.71349353
2014-03-01,5.16569201
2014-04-01,1.06075217
2014-05-01,3.33333333
2014-06-01,7.93814433
2014-07-01,7.40740741
2014-08-01,6.13496933
2014-09-01,5.61122244
2014-10-01,0.48590865
2014-11-01,6.67340748
2014-12-01,3.42130987
2015-01-01,4.54995054
2015-02-01,6.4985451
2015-03-01,-0.74142725
2015-04-01,2.67175573
2015-05-01,7.42913001
2015-06-01,0.80229226
2015-07-01,0.07662835
2015-08-01,0.19267823
2015-09-01,0.18975332
2015-10-01,0.3868472
2015-11-01,-1.32701422
2015-12-01,-1.98487713
2016-01-01,-1.60832545
2016-02-01,-4.91803279
2016-03-01,-6.62931839
2016-04-01,-6.133829
2016-05-01,-9.19017288
2016-06-01,-2.50142126
2016-07-01,2.22052067
2016-08-01,1.53846154
2016-09-01,-0.9469697
2016-10-01,3.27552987
2016-11-01,4.32276657
2016-12-01,4.53230473
2017-01-01,5.0
2017-02-01,7.85440613
2017-03-01,11.0
2017-04-01,12.27722772
2017-05-01,12.2244489
2017-06-01,10.1068999
2017-07-01,7.30337079
2017-08-01,8.61742424
2017-09-01,13.38432122
2017-10-01,15.57835821
2017-11-01,11.69429098
2017-12-01,13.099631
2018-01-01,11.996337
2018-02-01,10.12433393
2018-03-01,10.18018018
2018-04-01,8.37742504
2018-05-01,9.73214286
2018-06-01,4.32480141
2018-07-01,4.45026178
2018-08-01,3.40017437
2018-09-01,-0.08431703
2018-10-01,-3.87409201
2018-11-01,0.65952185
2018-12-01,0.32626427
2019-01-01,1.14472608
