date,value
2008-01-01,8058.0
2008-02-01,2434.0
2008-03-01,2834.0
2008-04-01,4690.0
2008-05-01,3185.0
2008-06-01,3324.0
2008-07-01,3818.0
2008-08-01,2715.0
2008-09-01,3745.0
2008-10-01,1819.0
2008-11-01,4775.0
2008-12-01,7645.0
2009-01-01,16177.0
2009-02-01,10715.0
2009-03-01,18920.0
2009-04-01,5918.0
2009-05-01,6669.0
2009-06-01,15304.0
2009-07-01,3691.0
2009-08-01,4104.0
2009-09-01,5167.0
2009-10-01,2530.0
2009-11-01,2948.0
2009-12-01,3800.0
2010-01-01,13934.0
2010-02-01,6999.0
2010-03-01,5107.0
2010-04-01,7740.0
2010-05-01,6493.0
2010-06-01,6027.0
2010-07-01,5327.0
2010-08-01,5446.0
2010-09-01,6004.0
2010-10-01,5877.0
2010-11-01,5689.0
2010-12-01,4807.0
2011-01-01,10263.0
2011-02-01,5377.0
2011-03-01,6794.0
2011-04-01,7430.0
2011-05-01,5516.0
2011-06-01,6339.0
2011-07-01,4916.0
2011-08-01,5484.0
2011-09-01,4693.0
2011-10-01,5868.0
2011-11-01,5629.0
2011-12-01,6406.0
2012-01-01,7381.0
2012-02-01,7107.0
2012-03-01,10114.42
2012-04-01,6817.79
2012-05-01,7932.32
2012-06-01,9198.17
2012-07-01,5401.21
2012-08-01,7039.45
2012-09-01,6226.23
2012-10-01,5053.71
2012-11-01,5220.37
2012-12-01,4546.08
2013-01-01,10721.0
2013-02-01,6200.0
2013-03-01,10625.0
2013-04-01,7923.0
2013-05-01,6694.0
2013-06-01,8628.0
2013-07-01,6997.0
2013-08-01,7128.0
2013-09-01,7870.0
2013-10-01,5060.0
2013-11-01,6246.0
2013-12-01,4825.0
2014-01-01,13190.0
2014-02-01,6448.0
2014-03-01,10497.0
2014-04-01,7745.0
2014-05-01,8708.0
2014-06-01,10793.0
2014-07-01,3852.0
2014-08-01,7025.0
2014-09-01,8572.0
2014-10-01,5483.0
2014-11-01,8527.0
2014-12-01,6973.0
2015-01-01,14707.88398
2015-02-01,11436.98154
2015-03-01,9919.861996
2015-04-01,8045.060387
2015-05-01,8510.181814
2015-06-01,13239.5588
2015-07-01,5890.468935
2015-08-01,7755.919617
2015-09-01,10417.24486
2015-10-01,5573.755665
2015-11-01,8872.90243
2015-12-01,8323.083231
2016-01-01,25370.07022
2016-02-01,8105.442309
2016-03-01,13175.5618
2016-04-01,5642.052719
2016-05-01,9374.267688
2016-06-01,13141.10751
2016-07-01,4550.223157
2016-08-01,7969.196206
2016-09-01,12628.06365
2016-10-01,6010.330601
2016-11-01,8463.262045
2016-12-01,9942.78798
2017-01-01,23132.85478
2017-02-01,10317.31825
2017-03-01,11586.05628
2017-04-01,10805.68806
2017-05-01,11780.35896
2017-06-01,14474.35431
2017-07-01,9151.560003
2017-08-01,11466.15297
2017-09-01,11884.84372
2017-10-01,6635.249415
2017-11-01,11428.46132
2017-12-01,5769.490608
2018-01-01,26850.25463
2018-02-01,10199.48584
2018-03-01,11424.56835
2018-04-01,10987.35054
2018-05-01,11396.18357
2018-06-01,16787.34188
2018-07-01,12861.15205
2018-08-01,13139.99871
2018-09-01,14340.99924
2018-10-01,7141.282611
2018-11-01,12302.32894
2018-12-01,9281.464384
2019-01-01,35668.35953
2019-02-01,7640.641862
2019-03-01,19584.39553
2019-04-01,8732.827504
2019-05-01,11855.45876
2019-06-01,16736.89983
2019-07-01,8086.072901
2019-08-01,13045.18199
2019-09-01,17612.4407
2019-10-01,5469.638534
2019-11-01,13633.17324
2019-12-01,10769.81577
2020-01-01,34924.0
2020-02-01,7202.0
2020-03-01,30390.0
2020-04-01,16239.0
2020-05-01,15502.0
2020-06-01,19029.0
2020-07-01,10221.0
2020-08-01,14201.0
2020-09-01,19171.0
2020-10-01,6663.0
2020-11-01,15309.0
2020-12-01,11458.0
2021-01-01,38182.0
2021-02-01,13413.0
2021-03-01,27511.0
2021-04-01,12840.0
2021-05-01,14294.0
2021-06-01,23182.0
2021-07-01,8391.0
2021-08-01,12713.0
2021-09-01,17755.0
2021-10-01,7752.0
2021-11-01,13021.0
2021-12-01,10350.0
2022-01-01,41988.0
2022-02-01,9084.0
2022-03-01,32291.0
2022-04-01,3616.0
2022-05-01,18230.0
2022-06-01,30540.0
2022-07-01,4088.0
2022-08-01,13344.0
2022-09-01,25686.0
2022-10-01,4431.0
2022-11-01,11448.0
2022-12-01,14401.0
2023-01-01,49314.0
2023-02-01,18184.0
2023-03-01,39487.0
2023-04-01,4431.0
2023-05-01,12219.0
2023-06-01,32413.0
2023-07-01,364.0
2023-08-01,13412.0
2023-09-01,25369.0
2023-10-01,4837.0
2023-11-01,11120.0
2023-12-01,11092.0
2024-01-01,48401.0
2024-02-01,9773.0
2024-03-01,32920.0
2024-04-01,3349.0
2024-05-01,8197.0
2024-06-01,21927.0
2024-07-01,-808.0
2024-08-01,10411.0
2024-09-01,19742.0
2024-10-01,2965.0
2024-11-01,5216.0
2024-12-01,8402.0
2025-01-01,52194.0
2025-02-01,6528.0
2025-03-01,38234.0
2025-04-01,884.0
2025-05-01,5923.0
2025-06-01,23600.0
2025-07-01,-4296.0
2025-08-01,6253.0
2025-09-01,16081.0
2025-10-01,-154.0
2025-11-01,4096.0
2025-12-01,9804.0
2026-01-01,49016.0
2026-02-01,8458.0
2026-03-01,31522.0
2026-04-01,-4006.0
2026-05-01,4965.0
2026-06-01,17650.0
2026-07-01,-5896.0
