date,value
2007-01-15,9.5
2007-02-25,10.0
2007-04-16,10.5
2007-05-15,11.0
2007-06-05,11.5
2007-08-15,12.0
2007-09-25,12.5
2007-10-25,13.0
2007-11-26,13.5
2007-12-25,14.5
2008-01-25,15.0
2008-03-25,15.5
2008-04-25,16.0
2008-05-20,16.5
2008-06-15,17.0
2008-06-25,17.5
2008-09-25,17.5
2008-10-15,17.0
2008-12-05,16.0
2008-12-25,15.5
2010-01-18,16.0
2010-02-25,16.5
2010-05-10,17.0
2010-11-16,17.5
2010-11-29,18.0
2010-12-20,18.5
2011-01-20,19.0
2011-02-24,19.5
2011-03-25,20.0
2011-04-21,20.5
2011-05-18,21.0
2011-06-20,21.5
2011-12-05,21.0
2012-02-24,20.5
2012-05-18,20.0
2015-02-05,19.5
2015-04-20,18.5
2015-09-06,18.0
2015-10-24,17.5
2016-03-01,17.0
2018-04-25,16.0
2018-07-05,15.5
2018-10-15,14.5
2019-01-15,14.0
2019-01-25,13.5
2019-09-16,13.0
2020-01-06,12.5
2020-04-15,12.5
2020-05-15,12.5
2021-07-15,12.0
2021-12-15,11.5
2022-04-25,11.25
2022-12-05,11.0
2023-03-27,10.75
2023-09-15,10.5
2024-02-05,10.0
2024-09-27,9.5
2025-05-15,9.0
