date,value
2015-01-01,20516
2015-02-01,13609
2015-03-01,12433
2015-04-01,10582
2015-05-01,12397
2015-06-01,18384
2015-07-01,7511
2015-08-01,11097
2015-09-01,13571
2015-10-01,5593
2015-11-01,10255
2015-12-01,18114
2016-01-01,34758
2016-02-01,8312
2016-03-01,23931
2016-04-01,7809
2016-05-01,6770
2016-06-01,16479
2016-07-01,4791
2016-08-01,14605
2016-09-01,17115
2016-10-01,8865
2016-11-01,18328
2016-12-01,16397
2017-01-01,36970
2017-02-01,10908
2017-03-01,21186
2017-04-01,13880
2017-05-01,10631
2017-06-01,17718
2017-07-01,11956
2017-08-01,14895
2017-09-01,18335
2017-10-01,10357
2017-11-01,16128
2017-12-01,11481
2018-01-01,30793
2018-02-01,11894
2018-03-01,15848
2018-04-01,17761
2018-05-01,9518
2018-06-01,14877
2018-07-01,12254
2018-08-01,19391
2018-09-01,21691
2018-10-01,7420
2018-11-01,15239
2018-12-01,15898
2019-01-01,46791
2019-02-01,9665
2019-03-01,29602
2019-04-01,16710
2019-05-01,17124
2019-06-01,26243
2019-07-01,12872
2019-08-01,21956
2019-09-01,25142
2019-10-01,8680
2019-11-01,19937
2019-12-01,22013
2020-01-01,50535
2020-02-01,8737
2020-03-01,51838
2020-04-01,31027
2020-05-01,31866
2020-06-01,34681
2020-07-01,16928
2020-08-01,35853
2020-09-01,34693
2020-10-01,13929
2020-11-01,21355
2020-12-01,17192
2021-01-01,51884
2021-02-01,17243
2021-03-01,33762
2021-04-01,18570
2021-05-01,19522
2021-06-01,37017
2021-07-01,10752
2021-08-01,29893
2021-09-01,29026
2021-10-01,16176
2021-11-01,25983
2021-12-01,23682
2022-01-01,61759
2022-02-01,12170
2022-03-01,46565
2022-04-01,9327
2022-05-01,28415
2022-06-01,51926
2022-07-01,7785
2022-08-01,24712
2022-09-01,35411
2022-10-01,9134
2022-11-01,19837
2022-12-01,13058
2023-01-01,59956
2023-02-01,31610
2023-03-01,53867
2023-04-01,12249
2023-05-01,15560
2023-06-01,42265
2023-07-01,5366
2023-08-01,31279
2023-09-01,41326
2023-10-01,18441
2023-11-01,24554
2023-12-01,19401
2024-01-01,64734
2024-02-01,14959
2024-03-01,48335
2024-04-01,-658
2024-05-01,20623
2024-06-01,32985
2024-07-01,7707
2024-08-01,30323
2024-09-01,37635
2024-10-01,14120
2024-11-01,23288
2024-12-01,28507
2025-01-01,70546
2025-02-01,22331
2025-03-01,58961
2025-04-01,11599
2025-05-01,22900
2025-06-01,42251
2025-07-01,11307
2025-08-01,25660
2025-09-01,35299
2025-10-01,8178
2025-11-01,24926
2025-12-01,22075
2026-01-01,72185
2026-02-01,23837
2026-03-01,52240
2026-04-01,6245
