date,value
2013-03-22,2.2967
2013-03-25,2.1833
2013-03-26,2.03
2013-03-27,0.9167
2013-03-28,0.9133
2013-04-02,1.0233
2013-04-03,0.99
2013-04-05,0.9667
2013-04-08,1.3333
2013-04-09,1.23
2013-04-10,0.9667
2013-04-11,0.95
2013-04-12,0.9667
2013-04-15,0.95
2013-04-16,0.9333
2013-04-17,0.96
2013-04-18,0.93
2013-04-19,0.9167
2013-04-22,0.95
2013-04-23,0.9967
2013-04-24,1.22
2013-04-25,1.15
2013-04-26,1.1167
2013-04-29,1.0
2013-04-30,0.9167
2013-05-02,0.8767
2013-05-03,0.9833
2013-05-06,0.95
2013-05-07,2.1
2013-05-08,4.4
2013-05-09,2.7333
2013-05-10,2.7
2013-05-13,2.9167
2013-05-14,2.1333
2013-05-15,2.1833
2013-05-16,3.0667
2013-05-20,3.17
2013-05-21,2.67
2013-05-22,2.3
2013-05-23,2.1833
2013-05-24,2.9
2013-05-27,3.05
2013-05-28,3.0
2013-05-29,2.1833
2013-05-30,1.7267
2013-05-31,1.75
2013-06-03,1.7933
2013-06-04,1.81
2013-06-05,2.4
2013-06-06,3.7667
2013-06-07,4.0033
2013-06-10,4.5
2013-06-11,4.2233
2013-06-13,3.35
2013-06-14,3.0333
2013-06-17,2.4767
2013-06-18,2.4667
2013-06-19,3.9333
2013-06-20,6.5433
2013-06-21,3.3333
2013-06-24,4.35
2013-06-25,3.24
2013-06-26,2.0
2013-06-27,4.615
2013-06-28,4.925
2013-07-02,4.0125
2013-07-03,3.0
2013-07-04,1.8125
2013-07-05,1.5
2013-07-08,1.285
2013-07-09,1.1575
2013-07-10,1.12
2013-07-11,1.12
2013-07-12,1.1205
2013-07-15,1.214
2013-07-16,1.327
2013-07-17,1.3
2013-07-18,1.4325
2013-07-19,2.405
2013-07-22,1.82
2013-07-23,1.59
2013-07-24,1.535
2013-07-25,1.585
2013-07-26,1.49
2013-07-29,1.3641
2013-07-30,1.387
2013-07-31,1.824
2013-08-01,1.636
2013-08-02,1.674
2013-08-05,1.707
2013-08-06,1.723
2013-08-07,1.7756
2013-08-08,1.76
2013-08-09,1.668
2013-08-12,1.715
2013-08-13,1.707
2013-08-15,1.5778
2013-08-16,1.266
2013-08-19,1.246
2013-08-20,1.259
2013-08-21,1.259
2013-08-22,1.264
2013-08-23,1.249
2013-08-26,1.249
2013-08-27,1.276
2013-08-28,1.243
2013-08-29,1.245
2013-08-30,1.2225
2013-09-02,1.2311
2013-09-03,1.248
2013-09-04,1.233
2013-09-05,1.2
2013-09-06,1.2
2013-09-09,1.19
2013-09-10,1.123
2013-09-11,1.078
2013-09-12,1.07
2013-09-13,1.055
2013-09-16,1.03
2013-09-17,1.027
2013-09-18,1.04
2013-09-19,1.053
2013-09-23,1.0389
2013-09-24,1.025
2013-09-25,0.989
2013-09-26,0.96
