date,value
2026-05-05,2.41
2026-05-06,2.33
2026-05-07,2.37
2026-05-08,2.57
2026-05-11,2.69
2026-05-12,2.53
2026-05-13,2.49
2026-05-14,2.34
2026-05-15,2.29
2026-05-18,2.23
2026-05-19,2.07
2026-05-20,2.05
2026-05-21,2.17
2026-05-22,2.11
2026-05-26,2.0
2026-05-27,2.09
2026-05-28,2.51
2026-05-29,2.72
2026-06-01,1.88
2026-06-02,1.89
2026-06-03,1.89
2026-06-04,1.98
2026-06-05,2.05
2026-06-08,2.15
2026-06-09,1.88
2026-06-10,1.79
2026-06-11,1.82
2026-06-12,1.97
2026-06-15,2.0
2026-06-16,2.45
2026-06-17,2.6
2026-06-18,2.4
2026-06-22,2.38
2026-06-23,2.25
2026-06-24,2.26
2026-06-25,2.37
2026-06-26,2.44
2026-06-29,2.53
2026-06-30,3.62
2026-07-02,2.41
2026-07-03,2.43
2026-07-06,2.46
2026-07-07,2.45
2026-07-08,2.5
2026-07-09,2.47
2026-07-10,2.52
2026-07-13,2.49
2026-07-14,2.63
2026-07-15,2.72
2026-07-16,2.53
2026-07-17,2.28
2026-07-20,2.28
2026-07-21,2.17
2026-07-22,2.14
2026-07-23,2.23
2026-07-24,2.24
2026-07-27,2.2
2026-07-28,2.29
2026-07-29,2.28
2026-07-30,2.25
