date,value
2026-05-27,53997.0
2026-05-28,53997.0
2026-05-29,53997.0
2026-06-01,53997.0
2026-06-02,53997.0
2026-06-03,53947.0
2026-06-04,53947.0
2026-06-05,53947.0
2026-06-08,53947.0
2026-06-09,53947.0
2026-06-10,53886.0
2026-06-11,53886.0
2026-06-12,53886.0
2026-06-15,53886.0
2026-06-16,53886.0
2026-06-17,53885.0
2026-06-18,53885.0
2026-06-22,53885.0
2026-06-23,53885.0
2026-06-24,53981.0
2026-06-25,53981.0
2026-06-26,53981.0
2026-06-29,53981.0
2026-06-30,53981.0
2026-07-02,54157.0
2026-07-03,54157.0
2026-07-06,54157.0
2026-07-07,54157.0
2026-07-08,54027.0
2026-07-09,54027.0
2026-07-10,54027.0
2026-07-13,54027.0
2026-07-14,54027.0
2026-07-15,54056.0
2026-07-16,54056.0
2026-07-17,54056.0
2026-07-20,54056.0
2026-07-21,54056.0
2026-07-22,53934.0
2026-07-23,53934.0
2026-07-24,53934.0
2026-07-27,53934.0
2026-07-28,53934.0
2026-07-29,54108.0
2026-07-30,54108.0
2026-07-31,54108.0
2026-08-03,54108.0
2026-08-04,54108.0
2026-08-05,53946.0
2026-08-06,53946.0
2026-08-07,53946.0
2026-08-10,53946.0
2026-08-11,53946.0
2026-08-12,54069.0
2026-08-13,54069.0
2026-08-14,54069.0
2026-08-17,54069.0
2026-08-18,54069.0
2026-08-19,53968.0
2026-08-20,53968.0
