date,value
2026-05-04,101.1
2026-05-05,101.3
2026-05-06,101.0
2026-05-07,100.9
2026-05-08,101.0
2026-05-11,100.9
2026-05-12,101.1
2026-05-13,101.0
2026-05-14,101.0
2026-05-15,101.3
2026-05-18,101.4
2026-05-19,101.4
2026-05-20,101.4
2026-05-21,101.4
2026-05-22,101.3
2026-05-26,101.1
2026-05-27,101.1
2026-05-28,101.5
2026-05-29,101.3
2026-06-01,101.2
2026-06-02,101.2
2026-06-03,101.4
2026-06-04,101.5
2026-06-05,101.5
2026-06-08,101.8
2026-06-09,101.5
2026-06-10,101.6
2026-06-11,101.7
2026-06-12,101.5
2026-06-15,101.3
2026-06-16,101.4
2026-06-17,101.3
2026-06-18,101.5
2026-06-22,101.8
2026-06-23,101.9
2026-06-24,102.1
2026-06-25,102.1
2026-06-26,102.0
2026-06-29,101.9
2026-06-30,101.9
2026-07-02,101.9
2026-07-03,101.7
2026-07-06,101.9
2026-07-07,101.9
2026-07-08,101.9
2026-07-09,101.9
2026-07-10,101.7
2026-07-13,101.8
2026-07-14,101.8
2026-07-15,101.6
2026-07-16,101.5
2026-07-17,101.6
2026-07-20,101.6
2026-07-21,101.5
2026-07-22,101.7
2026-07-23,101.6
2026-07-24,101.7
2026-07-27,101.6
2026-07-28,101.6
2026-07-29,101.6
